128 0 0 0.0 0.0 6.84 0.2159022 0.0753733 1.5981414 -13.4023929 28.5869617 0.9070362 0.0003968 0.0 84.6270132 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 0 0 0.0 0.0 6.59 0.0468909 0.0729216 1.5906372 0.5981577 5.5004282 0.1091719 0.0181467 0.0 91.5811234 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 0 0 0.0 0.0 6.56 0.0192264 0.0722319 1.7480189 1.6889463 2.4373631 0.0184412 0.0081494 0.0 92.0769564 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 1 1 0.0 0.0 6.58 0.0147081 0.0677505 1.7090923 1.5982049 1.9789887 0.0093167 0.0071599 0.0 92.7515756 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 1 1 0.0 0.0 6.77 0.0114274 0.0642437 1.6674501 1.3368182 1.2230258 0.0066551 0.0049543 0.0 93.1262425 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 1 1 0.0 0.0 6.57 0.009727 0.0634358 2.0337311 1.1520403 0.9816896 0.0056392 0.0053323 0.0 93.2737824 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 1 1 0.0 0.0 6.57 0.008569 0.0680384 2.1014431 0.9530075 0.6529219 0.0048625 0.0029952 0.0 92.8437845 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 2 2 0.0 0.0 6.68 0.0085096 0.0674382 2.5034927 0.8598031 0.5996028 0.0040838 0.0039393 0.0 92.7313751 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 2 2 0.0 0.0 6.58 0.0079942 0.0673407 2.4430504 0.6228106 0.3188352 0.0038921 0.0012657 0.0 92.7583602 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 2 2 0.0 0.0 6.67 0.0071392 0.059912 2.075164 0.4979396 0.2037408 0.0034323 0.0006592 0.0 93.6381155 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 3 3 0.0 0.0 6.56 0.0071556 0.059423 2.3148448 0.4164798 0.1441073 0.0034009 0.0018627 0.0 93.6126138 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
