128 0 0 0.0 0.0 22.52 0.0674224 0.1026771 0.9637378 -5.8017086 5.1501581 0.4143332 0.1451268 0.0 80.6221569 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 22.77 0.0651737 0.0666699 1.0949131 -0.667423 1.3409799 0.1040782 0.0869473 0.0 93.3484567 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 22.36 0.0543513 0.055078 1.1287849 0.2331349 0.5602619 0.0425671 0.0156026 0.0 94.9197224 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 23.21 0.0477813 0.0545265 1.098735 0.3709389 0.4084835 0.0308188 0.0088 0.0 95.5309168 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 25.17 0.0385199 0.0599222 1.0469637 0.9092304 1.1285628 0.0241997 0.0060146 0.0 94.3556264 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 24.93 0.0358279 0.0540459 1.0975358 0.3574968 0.3829373 0.0210893 0.0073593 0.0 96.0026289 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 27.12 0.0337457 0.0482634 1.1673392 0.2772846 0.2513652 0.0210355 0.0081769 0.0 96.4061556 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 29.17 0.0325006 0.0467021 1.1841262 0.2781343 0.1714407 0.0166523 0.0052148 0.0 96.7118981 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 28.11 0.0287026 0.0450987 1.2234153 0.335602 0.223557 0.0160709 0.0051534 0.0 97.1162932 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 50.0 0.2 31.83 0.0245576 0.0525175 1.2091861 0.3489326 0.178275 0.0125789 0.0047889 0.0 95.6057503 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 50.0} 
1408 2 2 50.0 0.2 34.2 0.0235783 0.0428092 1.2063781 0.1684874 0.0978829 0.0142195 0.0050959 0.0 96.8203407 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 50.0} 
1536 2 2 50.0 0.2 35.58 0.0217972 0.039916 1.2779776 0.1659131 0.0847826 0.012278 0.0045689 0.0 97.4475994 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 50.0} 
1664 2 2 50.0 0.2 34.91 0.0206098 0.0397935 1.3219401 0.1298348 0.06516 0.0111612 0.0037267 0.0 97.2891242 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 50.0} 
1792 2 2 50.0 0.2 37.93 0.0175917 0.0375606 1.3104443 0.1803883 0.0735125 0.0094959 0.0037602 0.0 97.2804916 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 50.0} 
1920 2 2 50.0 0.2 35.9 0.0169921 0.0402723 1.2637799 0.1088948 0.0543536 0.0092808 0.0039109 0.0 96.9000102 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 50.0} 
2048 2 2 50.0 0.2 35.82 0.0168164 0.0337158 1.2477862 0.0736683 0.0500646 0.0095427 0.0045886 0.0 97.9043502 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 50.0} 
2176 3 3 120.0 0.4800000000000001 35.9 0.0153964 0.0346037 1.252256 0.0478416 0.0436653 0.0085166 0.0032654 0.0 98.0422397 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 120.0} 
2304 3 3 120.0 0.4800000000000001 35.82 0.0150623 0.0312208 1.3934959 0.0619313 0.031406 0.0083804 0.0031098 0.0 98.3963711 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 120.0} 
2432 3 3 120.0 0.4800000000000001 36.93 0.0143122 0.0351537 1.4078018 0.0799877 0.035735 0.0074745 0.0028885 0.0 97.604828 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 120.0} 
2560 3 3 120.0 0.4800000000000001 36.6 0.0142614 0.0330001 1.4768942 0.0494924 0.0358402 0.0074117 0.0029075 0.0 97.8573719 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 120.0} 
2688 3 3 120.0 0.4800000000000001 36.12 0.0136918 0.0307778 1.5235171 0.0380289 0.0280073 0.0076813 0.0031011 0.0 98.3268679 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 120.0} 
2816 4 4 108.0 0.4320000000000001 36.03 0.0131833 0.0320778 1.4903594 0.0200084 0.0275711 0.0069814 0.0028319 0.0 97.9404781 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 108.0} 
2944 4 4 108.0 0.4320000000000001 36.38 0.0133048 0.0280661 1.5068954 0.0252103 0.0220411 0.0070472 0.0029048 0.0 98.3291482 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 108.0} 
3072 4 4 108.0 0.4320000000000001 36.32 0.0125787 0.031043 1.5662581 0.0343695 0.0233986 0.0064745 0.0027451 0.0 98.155894 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 108.0} 
3200 4 4 108.0 0.4320000000000001 36.26 0.0128578 0.0315278 1.4952028 -0.0021749 0.0237573 0.0066543 0.0027644 0.0 98.2796536 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 108.0} 
3328 4 4 108.0 0.4320000000000001 37.81 0.0126991 0.030812 1.5003412 0.0048471 0.0203746 0.0064671 0.0025614 0.0 98.1761545 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 108.0} 
3456 4 4 108.0 0.4320000000000001 36.94 0.0128218 0.0272309 1.6044602 -0.0277847 0.0209517 0.0071724 0.0030661 0.0 98.6266461 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 108.0} 
3584 4 4 108.0 0.4320000000000001 38.85 0.0130855 0.0268172 1.5654857 -0.0060593 0.0207229 0.0065124 0.0029694 0.0 98.4311306 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 108.0} 
3712 5 5 157.2 0.6888000000000001 38.76 0.0130774 0.0295215 1.6757899 -0.0192333 0.0208932 0.0065899 0.0026146 0.0 98.213999 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 157.2} 
3840 5 5 157.2 0.6888000000000001 37.1 0.0129684 0.0291771 1.9230419 -0.0158411 0.0173365 0.0069071 0.0030909 0.0 98.3287161 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 157.2} 
3968 5 5 157.2 0.6888000000000001 36.76 0.0138162 0.0288921 1.9191194 -0.0204628 0.0175066 0.0072868 0.0027727 0.0 98.3503187 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 157.2} 
4096 5 5 157.2 0.6888000000000001 37.24 0.0142762 0.0256405 1.9029609 -0.04235 0.0184126 0.0077305 0.0036932 0.0 98.6225958 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 157.2} 
4224 5 5 157.2 0.6888000000000001 36.19 0.0133568 0.0257946 1.925949 -0.0243949 0.0180077 0.0067667 0.0028092 0.0 98.6833156 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 157.2} 
4352 6 6 201.48 0.9199200000000002 34.36 0.0138264 0.0269639 2.0652949 -0.0187961 0.0156677 0.0070305 0.002682 0.0 98.4457607 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 201.48} 
4480 6 6 201.48 0.9199200000000002 35.3 0.0145108 0.0271267 2.02642 -0.0444252 0.0254151 0.0090694 0.0124839 0.0 98.651626 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 201.48} 
4608 6 6 201.48 0.9199200000000002 35.24 0.0163632 0.0290434 2.0877851 -0.0428596 0.0264934 0.0081399 0.0046692 0.0 98.3126024 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 201.48} 
4736 6 6 201.48 0.9199200000000002 35.66 0.015981 0.0271663 2.1485 -0.0514972 0.0207743 0.0082817 0.0036911 0.0 98.4233317 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 201.48} 
4864 6 6 201.48 0.9199200000000002 36.12 0.0156861 0.0242836 2.2841375 -0.0376337 0.0168546 0.0084674 0.0030164 0.0 98.7997192 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 201.48} 
4992 7 7 231.332 1.0279280000000002 36.6 0.0150138 0.0260136 2.3769099 -0.0349077 0.0267518 0.0080489 0.0057364 0.0 98.5676242 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 231.332} 
5120 7 7 231.332 1.0279280000000002 36.44 0.0159363 0.0283321 2.2979924 -0.0268591 0.0268017 0.0073851 0.0043929 0.0 98.0906319 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 231.332} 
5248 7 7 231.332 1.0279280000000002 36.38 0.015515 0.026809 2.3407373 -0.0310759 0.0219301 0.0079473 0.0029517 0.0 98.4216157 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 231.332} 
5376 7 7 231.332 1.0279280000000002 37.09 0.0157945 0.0247865 2.5587803 -0.0331216 0.020119 0.0081858 0.0030243 0.0 98.7836708 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 231.332} 
5504 7 7 231.332 1.0279280000000002 35.69 0.0176425 0.0247127 2.3078944 -0.040182 0.0234324 0.0083616 0.0045026 0.0 98.699257 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 231.332} 
5632 7 7 231.332 1.0279280000000002 36.12 0.0168632 0.0238994 2.2681114 -0.0754682 0.0277804 0.0104579 0.0079332 0.0 98.6825905 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 231.332} 
5760 8 8 258.1988 1.1251352000000001 37.07 0.0181664 0.0241052 2.4989163 -0.0327381 0.0256835 0.0093813 0.0039138 0.0 98.7402988 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 258.1988} 
5888 8 8 258.1988 1.1251352000000001 39.06 0.0188879 0.0247818 2.3930837 -0.0311314 0.0252635 0.0087491 0.0041611 0.0 98.603601 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 258.1988} 
6016 8 8 258.1988 1.1251352000000001 37.59 0.017634 0.0254464 2.352408 -0.0373398 0.0204519 0.0087502 0.0036722 0.0 98.5713849 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 258.1988} 
6144 8 8 258.1988 1.1251352000000001 39.41 0.0201316 0.0242832 2.5341515 -0.0382635 0.0188055 0.0097531 0.003493 0.0 98.7499973 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 258.1988} 
