128 0 0 0.0 0.0 38.64 0.1991208 0.0756645 1.134691 -12.3462858 17.7114401 0.8336732 0.0556184 0.0 84.0741859 0.0  {'room_id': 41, 'explored_rooms': 2, 'raw_score': 0.0} 
256 0 0 0.0 0.0 38.06 0.1669687 0.0573385 1.231381 -0.7228787 2.8145772 0.1773536 0.0356772 0.0 95.6998034 0.0  {'room_id': 5, 'explored_rooms': 2, 'raw_score': 0.0} 
384 0 0 0.0 0.0 38.14 0.1247359 0.04536 1.1365116 0.6500192 1.5462669 0.0856283 0.0203524 0.0 97.7105472 0.0  {'room_id': 5, 'explored_rooms': 2, 'raw_score': 0.0} 
512 0 0 0.0 0.0 37.81 0.1045534 0.040745 1.0709401 0.7400021 2.0911288 0.0704674 0.0710367 0.0 98.0238009 0.0  {'room_id': 5, 'explored_rooms': 2, 'raw_score': 0.0} 
640 0 0 0.0 0.0 37.79 0.087644 0.0389547 1.0697654 0.7793558 1.0551362 0.0572933 0.0180052 0.0 98.0504727 0.0  {'room_id': 127, 'explored_rooms': 4, 'raw_score': 0.0} 
768 0 0 0.0 0.0 39.37 0.0742133 0.0411846 1.1283604 0.7487878 0.7799316 0.0475605 0.0089074 0.0 97.203304 0.0  {'room_id': 127, 'explored_rooms': 4, 'raw_score': 0.0} 
896 0 0 0.0 0.0 36.94 0.0659457 0.0449781 1.1982737 0.7356155 0.6471916 0.0410983 0.0080328 0.0 96.3213192 0.0  {'room_id': 85, 'explored_rooms': 5, 'raw_score': 0.0} 
1024 0 0 0.0 0.0 39.18 0.0602713 0.0439157 1.2218354 0.6134354 0.5114877 0.0396974 0.0094277 0.0 96.5047129 0.0  {'room_id': 85, 'explored_rooms': 5, 'raw_score': 0.0} 
1152 0 0 0.0 0.0 40.32 0.050792 0.0398182 1.2203636 0.6153101 0.4041335 0.0328984 0.0105272 0.0 97.1162547 0.0  {'room_id': 32, 'explored_rooms': 6, 'raw_score': 0.0} 
1280 0 0 0.0 0.0 37.36 0.0454359 0.0379641 1.2014541 0.6152111 0.3301666 0.0270062 0.0095986 0.0 97.0525592 0.0  {'room_id': 242, 'explored_rooms': 22, 'raw_score': 0.0} 
1408 0 0 0.0 0.0 35.53 0.0392012 0.0336564 1.1555848 0.5653292 0.3033131 0.0228099 0.0095332 0.0 97.2478217 0.0  {'room_id': 10, 'explored_rooms': 29, 'raw_score': 0.0} 
1536 0 0 0.0 0.0 36.19 0.0420366 0.0317299 1.1594326 0.4827888 0.2663786 0.0228517 0.0084726 0.0 97.7824952 0.0  {'room_id': 121, 'explored_rooms': 31, 'raw_score': 0.0} 
1664 0 0 0.0 0.0 36.27 0.0546092 0.0341864 1.2846901 0.3899898 0.1863202 0.0239041 0.0091817 0.0 97.5553083 0.0  {'room_id': 121, 'explored_rooms': 31, 'raw_score': 0.0} 
1792 0 0 0.0 0.0 35.68 0.0602851 0.0376907 1.3538687 0.1353451 0.1701276 0.0334379 0.0083209 0.0 97.5928231 0.0  {'room_id': 32, 'explored_rooms': 31, 'raw_score': 0.0} 
1920 0 0 0.0 0.0 36.42 0.0704097 0.0377796 1.3931701 -0.087862 0.1751495 0.0466041 0.0132534 0.0 97.7382212 0.0  {'room_id': 32, 'explored_rooms': 31, 'raw_score': 0.0} 
2048 0 0 0.0 0.0 34.94 0.0589074 0.032179 1.3213873 0.0066445 0.1868216 0.0413016 0.0084396 0.0 98.3861765 0.0  {'room_id': 85, 'explored_rooms': 31, 'raw_score': 0.0} 
2176 0 0 0.0 0.0 35.84 0.0486383 0.0278297 1.2828744 0.1818384 0.1886249 0.0313987 0.0079519 0.0 98.7404879 0.0  {'room_id': 85, 'explored_rooms': 31, 'raw_score': 0.0} 
2304 0 0 0.0 0.0 36.62 0.0522205 0.0320842 1.2740925 0.1658385 0.1381773 0.0275179 0.0077932 0.0 98.2420792 0.0  {'room_id': 127, 'explored_rooms': 31, 'raw_score': 0.0} 
2432 0 0 0.0 0.0 36.85 0.0530795 0.0312055 1.2810706 0.0405321 0.1420059 0.0299515 0.0073396 0.0 98.4753421 0.0  {'room_id': 5, 'explored_rooms': 31, 'raw_score': 0.0} 
2560 0 0 0.0 0.0 38.63 0.0479483 0.0285789 1.4077797 0.0046601 0.1387962 0.0314645 0.0086045 0.0 98.5932513 0.0  {'room_id': 5, 'explored_rooms': 31, 'raw_score': 0.0} 
2688 0 0 0.0 0.0 38.79 0.0440732 0.0266681 1.4834781 -3.48e-05 0.1221626 0.0294574 0.0093439 0.0 98.9760187 0.0  {'room_id': 16, 'explored_rooms': 31, 'raw_score': 0.0} 
2816 1 1 -73.5 0.1 41.01 0.058996 0.0362259 1.420654 0.1069261 0.1834237 0.0365469 0.0063204 0.0 97.7654057 0.0  {'room_id': 16, 'explored_rooms': 31, 'raw_score': -73.5} 
2944 1 1 -73.5 0.1 39.36 0.0509788 0.0311536 1.3949123 -0.2268107 0.0907226 0.042359 0.0069792 0.0 98.292821 0.0  {'room_id': 60, 'explored_rooms': 33, 'raw_score': -73.5} 
3072 1 1 -73.5 0.1 40.35 0.0432702 0.02902 1.583702 -0.2738041 0.0773493 0.0348594 0.0086908 0.0 98.2748369 0.0  {'room_id': 169, 'explored_rooms': 39, 'raw_score': -73.5} 
3200 1 1 -73.5 0.1 39.62 0.0403659 0.0255745 1.4822568 -0.1567487 0.0575656 0.0257568 0.0047359 0.0 98.6778845 0.0  {'room_id': 66, 'explored_rooms': 42, 'raw_score': -73.5} 
3328 1 1 -73.5 0.1 40.05 0.0366862 0.0255513 1.4841222 -0.1917607 0.0931083 0.0253718 0.0108349 0.0 98.7292337 0.0  {'room_id': 122, 'explored_rooms': 44, 'raw_score': -73.5} 
