128 0 0 0.0 0.0 10.41 0.1557618 0.0715995 1.4665832 -13.4435177 30.7093055 0.9067546 0.0002366 0.0 85.164214 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 1 1 0.0 0.0 9.9 0.0330145 0.0667211 1.4373779 0.9597098 6.2959805 0.0934417 0.0117928 0.0 92.3033501 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 2 2 0.0 0.0 10.19 0.0148907 0.0655113 1.4542551 1.8154275 2.7276723 0.0150963 0.0062153 0.0 92.9331138 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 2 2 0.0 0.0 10.02 0.0114427 0.0641993 1.7172978 1.5639056 1.5556426 0.0066141 0.0030948 0.0 93.1775753 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 2 2 0.0 0.0 9.81 0.0083078 0.0625948 1.7426679 1.2670783 0.7622057 0.0049985 0.0017124 0.0 93.4457492 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 2 2 0.0 0.0 10.38 0.0073853 0.0588616 1.6072207 1.0753807 0.5980556 0.003954 0.0014948 0.0 93.9204617 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 2 2 0.0 0.0 10.37 0.0063487 0.0549698 1.5724351 0.8892221 0.3466594 0.0033921 0.0007377 0.0 94.2826962 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 2 2 0.0 0.0 10.2 0.005605 0.0582719 1.5929928 0.9413408 0.6244185 0.003082 0.00067 0.0 93.8645606 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 2 2 0.0 0.0 10.49 0.005328 0.0550943 1.6129779 0.6584607 0.2617329 0.0027836 0.0005787 0.0 94.2629598 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 2 2 0.0 0.0 10.11 0.0054172 0.0580975 1.7623608 0.5633665 0.2068337 0.0025033 0.0005144 0.0 93.9147241 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 3 3 0.0 0.0 10.04 0.0049251 0.0574795 2.1097562 0.4718257 0.1520521 0.0024324 0.0005025 0.0 93.8586064 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 3 3 0.0 0.0 10.51 0.0046705 0.0617307 2.1058574 0.3551976 0.0774542 0.0026142 0.0004955 0.0 93.3604443 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1664 3 3 0.0 0.0 10.27 0.0047349 0.0633609 1.993706 0.2799426 0.0412112 0.0023425 0.0004763 0.0 93.1673634 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1792 3 3 0.0 0.0 10.35 0.0049643 0.0644895 1.8673398 0.2255404 0.0318462 0.0024814 0.0005342 0.0 93.0040919 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1920 3 3 0.0 0.0 10.32 0.0047997 0.0593752 1.7898669 0.1839091 0.0205652 0.0027577 0.0005947 0.0 93.689825 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2048 3 3 0.0 0.0 10.5 0.0054913 0.0618729 1.8515986 0.2023 0.0394313 0.002423 0.000588 0.0 93.3181264 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2176 3 3 0.0 0.0 10.31 0.0058891 0.0597334 1.9385994 0.1322458 0.0169998 0.0026837 0.0008278 0.0 93.6188069 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2304 3 3 0.0 0.0 10.27 0.0063561 0.0584326 1.7397737 0.1058221 0.0124088 0.002904 0.0011152 0.0 93.5716857 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2432 4 4 0.0 0.0 10.28 0.0080347 0.0591041 1.6800525 0.0878321 0.0125812 0.0034366 0.002212 0.0 93.4599706 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2560 4 4 0.0 0.0 10.65 0.0079968 0.055962 1.6186095 0.0530366 0.0080496 0.0041736 0.0028052 0.0 93.6570654 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2688 4 4 0.0 0.0 10.69 0.0092215 0.0567627 1.7675295 0.038758 0.0052732 0.0040234 0.0024844 0.0 93.6260938 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2816 4 4 0.0 0.0 10.37 0.008916 0.0554691 1.6478516 0.0267542 0.0042134 0.0042505 0.0023936 0.0 93.9167774 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2944 4 4 0.0 0.0 10.3 0.008054 0.0499452 1.6592602 0.0162189 0.0035794 0.004593 0.0026562 0.0 94.7859613 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3072 4 4 0.0 0.0 10.28 0.0076165 0.0532744 1.4992055 0.0344892 0.0066455 0.0040548 0.0018705 0.0 94.3963661 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3200 4 4 0.0 0.0 10.36 0.0073456 0.0529451 1.4841454 0.023113 0.0038335 0.0037652 0.0016138 0.0 94.5291488 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3328 4 4 0.0 0.0 10.28 0.0068046 0.0516109 1.5514783 0.0155656 0.0028665 0.0037192 0.0015605 0.0 94.6156189 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3456 5 5 0.0 0.0 10.58 0.0075218 0.0502639 1.4043207 0.0254042 0.0036927 0.0032507 0.0014214 0.0 94.8198857 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3584 5 5 0.0 0.0 10.02 0.0066041 0.0484833 1.5104429 0.0018522 0.0030953 0.0043115 0.0018356 0.0 95.064602 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3712 5 5 0.0 0.0 9.99 0.0062734 0.0502447 1.5063764 0.0204248 0.0031658 0.0031888 0.0010082 0.0 94.8819357 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3840 5 5 0.0 0.0 9.9 0.0059607 0.0504988 1.5740482 0.0140352 0.0022378 0.0031105 0.0009964 0.0 94.873638 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3968 5 5 0.0 0.0 10.04 0.0059912 0.0488805 1.611756 0.0074238 0.001658 0.0031867 0.0008911 0.0 94.9396428 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
4096 5 5 0.0 0.0 10.12 0.005688 0.0473056 1.5779231 0.0066364 0.0021824 0.0033403 0.0006792 0.0 95.2484054 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
