128 0 0 0.0 0.0 23.42 0.2108107 0.0709381 1.1645151 -11.1948307 14.1410497 0.7530227 0.0448002 0.0 84.9372539 0.0  {'room_id': 5, 'explored_rooms': 3, 'raw_score': 0.0} 
256 0 0 0.0 0.0 23.3 0.1931551 0.0529582 1.2475286 -0.9170219 2.4320209 0.1745493 0.0492997 0.0 96.5882645 0.0  {'room_id': 73, 'explored_rooms': 3, 'raw_score': 0.0} 
384 0 0 0.0 0.0 23.16 0.1344124 0.0432422 1.1750702 0.29286 1.2902128 0.1011763 0.0254648 0.0 98.0197133 0.0  {'room_id': 5, 'explored_rooms': 3, 'raw_score': 0.0} 
512 0 0 0.0 0.0 23.2 0.1092409 0.0407045 1.1208042 0.6721562 1.1186126 0.0670747 0.0160259 0.0 98.2195331 0.0  {'room_id': 5, 'explored_rooms': 3, 'raw_score': 0.0} 
640 0 0 0.0 0.0 25.48 0.0945382 0.0379732 1.0787687 0.7347835 0.9656204 0.0563354 0.0118626 0.0 98.3586125 0.0  {'room_id': 5, 'explored_rooms': 3, 'raw_score': 0.0} 
768 0 0 0.0 0.0 26.1 0.0828507 0.0354187 1.0663521 0.6707032 0.7209924 0.0502577 0.0099059 0.0 98.2511687 0.0  {'room_id': 73, 'explored_rooms': 3, 'raw_score': 0.0} 
896 0 0 0.0 0.0 28.81 0.0668722 0.0350131 1.085928 0.6623979 0.6672789 0.043421 0.007834 0.0 98.1542081 0.0  {'room_id': 73, 'explored_rooms': 3, 'raw_score': 0.0} 
1024 0 0 0.0 0.0 29.04 0.0581969 0.0312239 1.0855572 0.5357099 0.4950684 0.0413349 0.0068121 0.0 98.2443624 0.0  {'room_id': 73, 'explored_rooms': 3, 'raw_score': 0.0} 
1152 0 0 0.0 0.0 29.26 0.0518446 0.0317386 1.0977674 0.5531875 0.4470241 0.0342733 0.0060679 0.0 97.9834903 0.0  {'room_id': 73, 'explored_rooms': 3, 'raw_score': 0.0} 
1280 0 0 0.0 0.0 31.17 0.0474925 0.0312653 1.1422922 0.5193163 0.3140071 0.0275713 0.0053314 0.0 97.9234317 0.0  {'room_id': 73, 'explored_rooms': 3, 'raw_score': 0.0} 
1408 0 0 0.0 0.0 35.2 0.0457914 0.0335376 1.1770863 0.4349682 0.2636424 0.0250405 0.006238 0.0 97.504969 0.0  {'room_id': 127, 'explored_rooms': 4, 'raw_score': 0.0} 
1536 0 0 0.0 0.0 38.16 0.0403994 0.0329045 1.1760266 0.3721424 0.2090649 0.023662 0.0063408 0.0 97.7206341 0.0  {'room_id': 127, 'explored_rooms': 4, 'raw_score': 0.0} 
1664 0 0 0.0 0.0 36.99 0.0393086 0.0326296 1.1959713 0.3086479 0.1642261 0.0225501 0.0060776 0.0 97.6958082 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1792 0 0 0.0 0.0 37.73 0.0370356 0.0311687 1.2269079 0.2480433 0.1497929 0.0219183 0.0054182 0.0 98.2292891 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1920 0 0 0.0 0.0 37.25 0.0371833 0.0332111 1.2543808 0.168525 0.1183413 0.0244528 0.0049124 0.0 97.8858229 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
2048 0 0 0.0 0.0 36.58 0.0360481 0.0323033 1.3356252 0.1969237 0.1182486 0.0208255 0.0044329 0.0 98.2863601 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
2176 0 0 0.0 0.0 34.87 0.0382608 0.0328915 1.3648896 0.2051927 0.0881358 0.0198336 0.0043681 0.0 98.1880181 0.0  {'room_id': 127, 'explored_rooms': 5, 'raw_score': 0.0} 
2304 0 0 0.0 0.0 36.02 0.042023 0.0343323 1.3969247 0.1346714 0.0803002 0.0218813 0.0045304 0.0 98.0086126 0.0  {'room_id': 73, 'explored_rooms': 5, 'raw_score': 0.0} 
2432 0 0 0.0 0.0 35.94 0.0367282 0.0311312 1.299183 0.1019179 0.0838415 0.0222058 0.0044467 0.0 98.4754481 0.0  {'room_id': 73, 'explored_rooms': 5, 'raw_score': 0.0} 
2560 0 0 0.0 0.0 37.99 0.0300588 0.027923 1.297017 0.1223513 0.0854866 0.0198826 0.0048702 0.0 98.3467256 0.0  {'room_id': 73, 'explored_rooms': 5, 'raw_score': 0.0} 
2688 0 0 0.0 0.0 37.74 0.0295432 0.0251418 1.3204966 0.1212603 0.0687103 0.0188218 0.0043448 0.0 98.7766789 0.0  {'room_id': 5, 'explored_rooms': 5, 'raw_score': 0.0} 
2816 1 1 10.0 0.1 38.52 0.0277542 0.0292345 1.3168527 0.247748 0.115626 0.0187975 0.0030319 0.0 97.9750458 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 10.0} 
2944 1 1 10.0 0.1 37.84 0.0353551 0.0357781 1.3244006 0.0387522 0.0639448 0.0235234 0.0056567 0.0 97.7189124 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 10.0} 
3072 1 1 10.0 0.1 37.63 0.0341072 0.0324635 1.4773929 -0.1303033 0.0723238 0.0274589 0.0082161 0.0 98.069233 0.0  {'room_id': 80, 'explored_rooms': 6, 'raw_score': 10.0} 
3200 1 1 10.0 0.1 37.88 0.0336906 0.0269219 1.5302797 -0.1163235 0.070345 0.0232442 0.0064327 0.0 98.5056905 0.0  {'room_id': 242, 'explored_rooms': 9, 'raw_score': 10.0} 
3328 1 1 10.0 0.1 36.82 0.0303858 0.0252378 1.4056147 -0.0819723 0.0691422 0.0210894 0.0092985 0.0 98.7022549 0.0  {'room_id': 166, 'explored_rooms': 17, 'raw_score': 10.0} 
3456 1 1 10.0 0.1 38.76 0.0279152 0.0249363 1.4010585 -0.0587195 0.0690523 0.0180977 0.0060095 0.0 98.6493636 0.0  {'room_id': 132, 'explored_rooms': 21, 'raw_score': 10.0} 
3584 1 1 10.0 0.1 38.83 0.029182 0.0245965 1.3435938 -0.081401 0.0624577 0.0200734 0.0052627 0.0 98.7286186 0.0  {'room_id': 73, 'explored_rooms': 23, 'raw_score': 10.0} 
3712 1 1 10.0 0.1 39.34 0.0272883 0.0225705 1.4120097 -0.0869252 0.0579556 0.0182683 0.0034901 0.0 98.9553521 0.0  {'room_id': 74, 'explored_rooms': 24, 'raw_score': 10.0} 
3840 1 1 10.0 0.1 39.02 0.0218811 0.0213568 1.5458733 -0.0468078 0.0588284 0.0161708 0.0099065 0.0 98.7845059 0.0  {'room_id': 133, 'explored_rooms': 40, 'raw_score': 10.0} 
3968 1 1 10.0 0.1 40.1 0.0207647 0.0228299 1.4396829 -0.0048205 0.0508219 0.0137187 0.0095945 0.0 98.3122264 0.0  {'room_id': 42, 'explored_rooms': 52, 'raw_score': 10.0} 
4096 1 1 10.0 0.1 39.86 0.0349029 0.0317156 1.5548311 0.0417401 0.0492511 0.0124377 0.004992 0.0 97.1800996 0.0  {'room_id': 5, 'explored_rooms': 53, 'raw_score': 10.0} 
