128 0 0 0.0 0.0 30.16 0.0472149 0.0483999 0.9737168 -3.3182696 1.2798868 0.2233273 0.0525003 0.0 87.9230264 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 28.11 0.0412252 0.042337 1.0722123 -1.1922323 0.5187074 0.1038339 0.0221993 0.0 96.2640574 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 27.87 0.0662773 0.0409771 1.0858474 -0.4247074 0.4482059 0.0725774 0.0184401 0.0 97.7240034 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 31.98 0.0856557 0.0355907 1.1125742 -0.1949543 0.3993418 0.0632843 0.0201208 0.0 98.6156035 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 33.61 0.0710848 0.0289076 1.1293301 -0.0798511 0.3375667 0.0549249 0.0179432 0.0 99.228549 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
768 0 0 0.0 0.0 36.57 0.0628979 0.0248488 1.1295977 0.1649963 0.3001229 0.0399657 0.0157699 0.0 99.5717851 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
896 0 0 0.0 0.0 36.52 0.0635748 0.0239304 1.1570252 0.1910972 0.2511004 0.0359827 0.0197529 0.0 99.6436082 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 0 0 0.0 0.0 36.52 0.0407331 0.0205511 1.199728 0.1548742 0.1987716 0.0338872 0.0131002 0.0 99.8629452 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 0 0 0.0 0.0 36.02 0.0330462 0.0206998 1.2313209 0.3208909 0.1708352 0.0210564 0.0131577 0.0 99.5313993 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 0 0 0.0 0.0 35.12 0.0277685 0.0181748 1.2448769 0.3398922 0.1801511 0.0168847 0.0116829 0.0 99.7408938 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 0 0 0.0 0.0 36.72 0.0254836 0.0175006 1.2480555 0.3220491 0.1766252 0.0142882 0.0106813 0.0 99.7436277 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 0 0 0.0 0.0 36.12 0.0251769 0.0179258 1.3302476 0.2492743 0.2645844 0.0151895 0.0331625 0.0 99.691026 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
