128 0 0 0.0 0.0 24.35 0.0690938 0.0484082 1.0992356 -3.0577126 1.0195935 0.2056862 0.0159259 0.0 89.2618369 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 22.45 0.0373603 0.0393176 1.1870527 -0.1716667 0.1857517 0.0435893 0.0117646 0.0 97.7491619 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 22.6 0.02651 0.03182 1.1936626 0.2534208 0.1647354 0.0192054 0.0075462 0.0 99.0316253 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 22.7 0.0190081 0.0293765 1.1702088 0.3236517 0.1288363 0.0126466 0.005341 0.0 98.6598379 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 24.69 0.0148574 0.0284932 1.1462402 0.2917804 0.0960376 0.0095899 0.0094291 0.0 98.7738325 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 25.19 0.0122039 0.0255025 1.1576928 0.2399195 0.0614206 0.0072218 0.0036249 0.0 99.1695469 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 27.4 0.0103831 0.0249933 1.1753218 0.2223676 0.0429184 0.0059915 0.003201 0.0 99.0504018 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 28.24 0.0089935 0.0238141 1.2001408 0.1869466 0.0298769 0.0049329 0.0026169 0.0 99.2149463 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 28.45 0.0085028 0.0232404 1.1908392 0.1602149 0.0195734 0.0045728 0.0025249 0.0 99.1393641 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 1 1 0.0 0.0 31.48 0.0075599 0.0227292 1.2592585 0.1263849 0.0139223 0.004028 0.0022781 0.0 99.171449 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 1 1 0.0 0.0 33.1 0.0068872 0.0231467 1.2707381 0.1074079 0.0108413 0.0037881 0.002085 0.0 99.1399421 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 2 2 0.0 0.0 34.43 0.0064155 0.0226167 1.2289582 0.0911398 0.0076961 0.0035248 0.0020472 0.0 99.0780142 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 2 2 0.0 0.0 35.63 0.0058377 0.0222295 1.2855085 0.0804921 0.005527 0.0032782 0.001929 0.0 99.1295093 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 2 2 0.0 0.0 36.23 0.0060095 0.0215989 1.308149 0.0649051 0.0057691 0.0032029 0.0024053 0.0 99.127155 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 2 2 0.0 0.0 37.92 0.0056132 0.0210283 1.3741654 0.0545047 0.0041451 0.0030675 0.0020462 0.0 99.1378737 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
