128 0 0 0.0 0.0 23.7 0.2088179 0.0790267 1.1841501 -11.8186949 17.3017552 0.8050585 0.0947525 0.0 83.1767708 0.0  {'room_id': 41, 'explored_rooms': 3, 'raw_score': 0.0} 
256 0 0 0.0 0.0 22.98 0.1951365 0.0565693 1.277833 -1.1514408 3.2551106 0.2044702 0.0771764 0.0 95.8420888 0.0  {'room_id': 41, 'explored_rooms': 3, 'raw_score': 0.0} 
384 0 0 0.0 0.0 22.87 0.1391739 0.0473215 1.1954917 0.2640528 1.6513222 0.1137726 0.0304685 0.0 97.4630735 0.0  {'room_id': 41, 'explored_rooms': 3, 'raw_score': 0.0} 
512 0 0 0.0 0.0 22.64 0.1084197 0.0432112 1.1519452 0.698252 1.2102288 0.0776298 0.0183762 0.0 97.3615251 0.0  {'room_id': 5, 'explored_rooms': 3, 'raw_score': 0.0} 
640 0 0 0.0 0.0 24.05 0.0952972 0.047702 1.1618916 0.8581212 1.0022768 0.0549613 0.0114766 0.0 96.2596186 0.0  {'room_id': 73, 'explored_rooms': 4, 'raw_score': 0.0} 
768 0 0 0.0 0.0 24.48 0.0673923 0.0467437 1.1555664 0.8467112 0.7903501 0.0417693 0.0104661 0.0 96.4593092 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
896 0 0 0.0 0.0 27.39 0.0508259 0.0418121 1.1585896 0.8368945 0.6994631 0.034763 0.0104321 0.0 97.0357905 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1024 0 0 0.0 0.0 28.27 0.0408215 0.0364615 1.1375411 0.7132272 0.5168534 0.0356781 0.0083961 0.0 97.7700702 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1152 0 0 0.0 0.0 29.06 0.0416747 0.0326936 1.1233875 0.6622438 0.4681294 0.0317021 0.0097715 0.0 97.8991959 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1280 0 0 0.0 0.0 32.28 0.0437595 0.03253 1.1403372 0.6354348 0.3801997 0.0259415 0.0095786 0.0 97.7940599 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1408 0 0 0.0 0.0 34.81 0.0533262 0.0345268 1.2293543 0.4818045 0.3046376 0.0269841 0.0121364 0.0 97.5226169 0.0  {'room_id': 127, 'explored_rooms': 5, 'raw_score': 0.0} 
1536 0 0 0.0 0.0 38.02 0.0835691 0.0414327 1.317194 0.2432952 0.2897031 0.0402302 0.0131639 0.0 97.3958151 0.0  {'room_id': 73, 'explored_rooms': 5, 'raw_score': 0.0} 
1664 0 0 0.0 0.0 39.25 0.0778422 0.0383889 1.2352848 0.0064344 0.2517825 0.0521363 0.0171384 0.0 97.9507082 0.0  {'room_id': 5, 'explored_rooms': 5, 'raw_score': 0.0} 
1792 0 0 0.0 0.0 38.69 0.060322 0.0305051 1.1559284 0.0956826 0.2350228 0.0443979 0.010489 0.0 98.6148783 0.0  {'room_id': 41, 'explored_rooms': 5, 'raw_score': 0.0} 
1920 0 0 0.0 0.0 40.5 0.0599879 0.0320176 1.1337894 0.1547839 0.2218226 0.0419686 0.0110424 0.0 98.3821608 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
2048 0 0 0.0 0.0 38.01 0.0612866 0.0348888 1.1828261 0.1221597 0.2211903 0.0398426 0.0194699 0.0 98.0424723 0.0  {'room_id': 80, 'explored_rooms': 6, 'raw_score': 0.0} 
2176 0 0 0.0 0.0 37.82 0.0556436 0.0319063 1.182736 0.0197262 0.2108822 0.0376725 0.0122765 0.0 98.3244863 0.0  {'room_id': 32, 'explored_rooms': 15, 'raw_score': 0.0} 
2304 0 0 0.0 0.0 37.65 0.0496261 0.0286982 1.2614399 0.0467159 0.1999498 0.0335224 0.0164488 0.0 98.8402242 0.0  {'room_id': 66, 'explored_rooms': 17, 'raw_score': 0.0} 
2432 0 0 0.0 0.0 35.46 0.0429397 0.0251357 1.2661535 0.1168529 0.170912 0.0270422 0.008073 0.0 99.1246289 0.0  {'room_id': 122, 'explored_rooms': 20, 'raw_score': 0.0} 
2560 0 0 0.0 0.0 34.93 0.0431389 0.0255238 1.2508317 0.1286339 0.1615567 0.0255042 0.0075923 0.0 99.184559 0.0  {'room_id': 74, 'explored_rooms': 21, 'raw_score': 0.0} 
