128 0 0 0.0 0.0 23.53 0.0698901 0.1048157 1.0665087 -7.8128456 9.0303859 0.5553349 0.1729301 0.0 80.4959445 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 22.88 0.0702433 0.0774723 1.1094172 -0.7599888 3.3352495 0.1259262 0.1199704 0.0 92.1441327 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 21.78 0.0545558 0.0640445 1.1495326 0.4729843 1.2038612 0.0487176 0.019838 0.0 94.4331421 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 22.38 0.0492863 0.0651891 1.1508721 0.691854 0.7553501 0.0340593 0.0094122 0.0 94.1624135 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 25.0 0.1 23.83 0.0387464 0.0618791 1.087908 1.2591165 1.7892496 0.0248197 0.0072898 0.0 94.2069341 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 25.0} 
768 1 1 25.0 0.1 26.15 0.0376857 0.0577059 1.117086 0.5770889 0.588875 0.0228672 0.0070545 0.0 95.6381062 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 25.0} 
896 1 1 25.0 0.1 27.04 0.0347508 0.0488353 1.1526356 0.4388713 0.3614558 0.0204628 0.0075995 0.0 96.5919768 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 25.0} 
1024 1 1 25.0 0.1 29.32 0.0340305 0.0474239 1.1325523 0.362034 0.2233712 0.0178164 0.0056455 0.0 96.7072828 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 25.0} 
1152 1 1 25.0 0.1 28.28 0.0297461 0.0434569 1.1463429 0.4299193 0.3293502 0.0170366 0.0062348 0.0 97.3043006 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 25.0} 
1280 2 2 32.5 0.19 31.84 0.0250789 0.0547595 1.1526359 0.4142407 0.2493337 0.013713 0.004975 0.0 95.5191673 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 32.5} 
1408 2 2 32.5 0.19 33.4 0.0246289 0.0431341 1.1785627 0.2062261 0.137867 0.0151143 0.0057517 0.0 97.0524222 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 32.5} 
1536 2 2 32.5 0.19 36.81 0.0229817 0.0408367 1.2291906 0.2088785 0.0945258 0.0124152 0.0045958 0.0 97.348052 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 32.5} 
1664 2 2 32.5 0.19 36.94 0.0225311 0.0371377 1.2290664 0.1482415 0.0713739 0.0130726 0.0040666 0.0 98.0291647 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 32.5} 
1792 2 2 32.5 0.19 39.97 0.0190042 0.039878 1.1792684 0.2133159 0.0909155 0.0099574 0.0040409 0.0 97.4345405 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 32.5} 
1920 3 3 54.25 0.271 39.03 0.0183199 0.0412106 1.2339314 0.1471005 0.0606178 0.0098108 0.0039639 0.0 97.1439515 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 54.25} 
