128 0 0 0.0 0.0 24.84 0.0483107 0.04411 0.9501651 -3.1195458 1.2258162 0.2113093 0.069132 0.0 88.5917291 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 22.59 0.0439192 0.04011 1.0616951 -1.2220155 0.815952 0.1054099 0.0219351 0.0 96.4677795 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 22.44 0.0558542 0.0367553 1.0822676 -0.4952325 0.3972603 0.0750537 0.0182855 0.0 97.9327362 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 22.19 0.0677811 0.0327682 1.101256 -0.1746158 0.3078453 0.0594456 0.01513 0.0 99.1196521 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 24.2 0.0559297 0.0274621 1.1222083 0.0577464 0.319083 0.0454642 0.0154814 0.0 99.4260906 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
768 0 0 0.0 0.0 24.87 0.048479 0.0230387 1.1207162 0.2047113 0.2467961 0.0341188 0.0158137 0.0 99.6409016 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
896 0 0 0.0 0.0 27.28 0.0513194 0.0220092 1.1266568 0.2477446 0.2750263 0.0294183 0.0191468 0.0 99.6046626 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 0 0 0.0 0.0 27.96 0.0485726 0.0205838 1.1295377 0.2911428 0.2664326 0.0246135 0.0168889 0.0 99.6600617 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 0 0 0.0 0.0 27.38 0.0461856 0.0206659 1.1802264 0.2278684 0.2785217 0.0253392 0.0218806 0.0 99.3593806 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 0 0 0.0 0.0 31.03 0.0332075 0.0182389 1.200062 0.2329821 0.2100235 0.0200604 0.0174596 0.0 99.6068364 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 0 0 0.0 0.0 32.79 0.0262677 0.0162683 1.2360086 0.2595494 0.1625194 0.0158023 0.0154043 0.0 99.6763907 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 0 0 0.0 0.0 35.79 0.0226543 0.0154427 1.2530086 0.2677183 0.1252082 0.0122411 0.01066 0.0 99.7221115 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 0 0 0.0 0.0 36.5 0.0175694 0.0156147 1.2509342 0.2358368 0.0914174 0.0103257 0.0085538 0.0 99.7030957 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 1 1 0.0 0.0 40.42 0.0151565 0.0142152 1.2713207 0.2164836 0.0732939 0.0089586 0.0073985 0.0 99.8461984 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 1 1 0.0 0.0 37.47 0.0146812 0.0137979 1.2962224 0.1775601 0.0629493 0.0084646 0.0074707 0.0 99.8247232 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 1 1 0.0 0.0 36.97 0.0140687 0.0137231 1.3169497 0.164516 0.0522117 0.0081057 0.0080048 0.0 99.8549496 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 1 1 0.0 0.0 37.39 0.0126133 0.0138344 1.3097301 0.1407967 0.0478491 0.0073718 0.0067937 0.0 99.898085 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 1 1 0.0 0.0 35.96 0.0128771 0.0127878 1.3126634 0.1214059 0.0354405 0.0073357 0.0071143 0.0 99.8915432 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 1 1 0.0 0.0 37.19 0.0117581 0.0130483 1.2926061 0.110446 0.0249322 0.0065543 0.0049142 0.0 99.9171399 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 1 1 0.0 0.0 37.42 0.0131739 0.0126454 1.2873763 0.0813708 0.034827 0.0076312 0.0101475 0.0 99.8857904 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 1 1 0.0 0.0 39.91 0.0120385 0.0124579 1.3006168 0.0832907 0.0433881 0.006885 0.0083554 0.0 99.8909047 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 1 1 0.0 0.0 38.1 0.0153596 0.0139311 1.3191781 0.070199 0.0354369 0.0069585 0.0083955 0.0 99.763814 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 1 1 0.0 0.0 38.14 0.0124693 0.0122515 1.3167434 0.0547441 0.0584537 0.0078497 0.0122445 0.0 99.8756835 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 1 1 0.0 0.0 37.14 0.0132172 0.0126368 1.3334733 0.0633148 0.0364138 0.0072901 0.0096519 0.0 99.8501312 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 1 1 0.0 0.0 37.31 0.0104925 0.0126124 1.3299801 0.0699339 0.0404216 0.0058443 0.0055382 0.0 99.850841 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 1 1 0.0 0.0 39.1 0.0108179 0.0118002 1.3518424 0.052593 0.0232623 0.0057787 0.0066645 0.0 99.9384964 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 1 1 0.0 0.0 37.7 0.0093528 0.0122202 1.390705 0.0467207 0.0120337 0.0054152 0.0047994 0.0 99.8785909 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 1 1 0.0 0.0 37.58 0.0079948 0.0116088 1.3326237 0.0418044 0.0064228 0.0048562 0.0014602 0.0 99.9015191 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 1 1 0.0 0.0 36.53 0.0077045 0.0115285 1.3229437 0.0361123 0.0070582 0.0044571 0.0026727 0.0 99.9506319 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 1 1 0.0 0.0 36.85 0.0083022 0.0118947 1.3012453 0.025988 0.0052928 0.0047747 0.0044978 0.0 99.9010484 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 1 1 0.0 0.0 37.11 0.0086351 0.012119 1.3395405 0.0163071 0.0063971 0.0049578 0.0055728 0.0 99.8983985 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
