128 0 0 0.0 0.0 29.6 0.0592989 0.0519752 0.9954032 -2.8876542 0.9188213 0.1927972 0.0147526 0.0 88.9023148 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 27.58 0.0341415 0.0401149 1.0972633 -0.1582849 0.1741515 0.0406488 0.0108849 0.0 97.5342268 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
384 1 1 0.0 0.0 27.98 0.0232313 0.0344144 1.1405268 0.2526831 0.1329009 0.0161612 0.005206 0.0 98.314819 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
512 1 1 0.0 0.0 30.45 0.0173576 0.0309237 1.1756337 0.2918774 0.1062602 0.011351 0.0042915 0.0 98.8131714 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
640 2 2 0.0 0.0 32.97 0.0133943 0.028681 1.1718004 0.2769123 0.0748263 0.0086902 0.0033917 0.0 98.8821497 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
768 2 2 0.0 0.0 37.71 0.0112176 0.026344 1.1913927 0.2485537 0.0514526 0.0066079 0.0028932 0.0 99.1515051 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
896 2 2 0.0 0.0 36.62 0.0097958 0.0241451 1.200379 0.2289081 0.0403334 0.0056073 0.0023867 0.0 99.1283747 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 3 3 0.0 0.0 36.96 0.0082422 0.0239377 1.2540022 0.1804719 0.0263094 0.0049752 0.002413 0.0 99.0955455 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 3 3 0.0 0.0 36.57 0.0074502 0.0240134 1.238857 0.1659596 0.0208312 0.0039131 0.0018265 0.0 98.9295094 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 3 3 0.0 0.0 34.87 0.0060644 0.0223906 1.26175 0.1412683 0.0153494 0.0035382 0.0015878 0.0 99.0448413 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 3 3 0.0 0.0 35.74 0.0054723 0.022987 1.270987 0.1343613 0.0125663 0.0029763 0.0016177 0.0 99.094689 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 3 3 0.0 0.0 36.86 0.0050461 0.0227806 1.3160861 0.1110593 0.0088712 0.0028026 0.0016646 0.0 99.2138211 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 4 4 0.0 0.0 37.69 0.0046124 0.0221499 1.3671003 0.0971741 0.0077194 0.0024327 0.0013489 0.0 99.1320422 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 4 4 0.0 0.0 37.59 0.0045096 0.0227213 1.3760521 0.0769831 0.0057702 0.002461 0.0020686 0.0 98.8702294 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 4 4 0.0 0.0 37.76 0.0042065 0.022382 1.4259571 0.0648053 0.003998 0.0021993 0.001331 0.0 99.0712824 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 5 5 0.0 0.0 35.91 0.0043597 0.0208711 1.4794751 0.0547136 0.0032042 0.0023391 0.0017627 0.0 99.1560014 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 5 5 0.0 0.0 35.99 0.0042999 0.0230541 1.4831485 0.0439628 0.0026598 0.00232 0.0017655 0.0 98.8738546 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 5 5 0.0 0.0 35.22 0.0038787 0.0219456 1.5600597 0.0373963 0.0021605 0.0021187 0.0012957 0.0 99.1085256 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 5 5 0.0 0.0 35.17 0.0039157 0.0210661 1.5472191 0.0309339 0.0015444 0.0020396 0.0012488 0.0 99.2335 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 5 5 0.0 0.0 36.04 0.0040415 0.0212619 1.5061105 0.0155904 0.001317 0.0024383 0.0012885 0.0 99.1290443 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 5 5 0.0 0.0 36.22 0.0037893 0.0214058 1.4633919 0.0198943 0.001262 0.0020185 0.0012141 0.0 99.1834032 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 5 5 0.0 0.0 36.65 0.0038002 0.0216719 1.4673347 0.0172595 0.0010265 0.00188 0.0011698 0.0 99.0394241 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 5 5 0.0 0.0 35.67 0.0038409 0.0210635 1.5217689 0.0100781 0.0014987 0.002008 0.0019445 0.0 98.9415928 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 5 5 0.0 0.0 38.19 0.0041582 0.0209998 1.5702762 0.0098648 0.000909 0.0019347 0.0013527 0.0 99.123614 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 5 5 0.0 0.0 38.68 0.0035151 0.0211706 1.5820741 0.0076412 0.0007186 0.0019211 0.0011317 0.0 98.9614538 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 6 6 0.0 0.0 37.41 0.0033225 0.0217395 1.5035248 0.0088901 0.0006096 0.0017224 0.0010865 0.0 98.8369343 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
