128 0 0 0.0 0.0 37.62 0.0426463 0.0454705 0.9735732 -3.2688642 1.1316165 0.219014 0.0237797 0.0 88.3310805 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 36.85 0.0408121 0.0418748 1.0897802 -1.2674646 0.4085912 0.10974 0.0255718 0.0 96.4059998 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 36.03 0.0540099 0.0369563 1.089643 -0.5117971 0.2511355 0.0765318 0.0170165 0.0 98.0386132 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 34.87 0.0734326 0.0343568 1.1570684 -0.186782 0.2902228 0.0597013 0.0169059 0.0 98.9655516 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
640 0 0 0.0 0.0 37.24 0.0743624 0.0293363 1.1569403 -0.0442384 0.3019273 0.0528091 0.0220892 0.0 99.2894409 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
768 0 0 0.0 0.0 37.9 0.0594765 0.0254891 1.1458375 0.2344943 0.3499769 0.0360977 0.0168142 0.0 99.3264931 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
896 0 0 0.0 0.0 37.57 0.0519386 0.0222991 1.1420148 0.1888097 0.3405341 0.0364032 0.0256354 0.0 99.4873749 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 0 0 0.0 0.0 36.73 0.0588594 0.0239781 1.1787349 0.2512385 0.3626828 0.0300459 0.0318672 0.0 98.9985841 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 0 0 0.0 0.0 36.54 0.0480499 0.0241737 1.2288978 0.2697781 0.3495425 0.0263745 0.0191569 0.0 98.800151 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 0 0 0.0 0.0 36.3 0.0548508 0.0234963 1.3024857 0.2624286 0.2894634 0.0247905 0.0190593 0.0 98.9529121 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 0 0 0.0 0.0 35.8 0.0489943 0.0208585 1.3634092 0.1865533 0.2565652 0.0256384 0.0212761 0.0 99.2958032 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 1 1 0.0 0.0 35.51 0.0360579 0.0187128 1.4098381 0.1566392 0.2612432 0.0246992 0.0177894 0.0 99.4365002 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 1 1 0.0 0.0 35.88 0.0320775 0.0189848 1.4261627 0.257334 0.2054059 0.0174453 0.0133369 0.0 99.3780089 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 1 1 0.0 0.0 36.4 0.024567 0.0167349 1.4455523 0.2478525 0.1696751 0.0150525 0.0119867 0.0 99.6259303 0.0  {'room_id': 254, 'explored_rooms': 1, 'raw_score': 0.0} 
