128 0 0 0.0 0.0 37.89 0.0867401 0.1036373 1.23041 -7.8295327 8.1917353 0.5437174 0.0938849 0.0 80.4052376 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 36.77 0.0788572 0.0733161 1.2578573 -0.7490675 1.182495 0.1217429 0.0414242 0.0 92.4843847 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 35.48 0.0683427 0.0626043 1.231613 0.2990774 0.5266407 0.0487804 0.0134775 0.0 94.7617164 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 36.28 0.0605111 0.0572449 1.1914638 0.4650261 0.4068881 0.0364842 0.0102924 0.0 95.4459961 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 25.0 0.1 36.73 0.0520145 0.0550659 1.1882079 0.9190702 1.2747959 0.0309306 0.0082205 0.0 95.8351168 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 25.0} 
768 1 1 25.0 0.1 37.68 0.0420168 0.0616603 1.1038887 0.5627695 0.4802616 0.0251863 0.0079161 0.0 95.0048795 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 25.0} 
896 1 1 25.0 0.1 35.67 0.0407331 0.0474488 1.1169088 0.3102537 0.3102854 0.0260999 0.0102718 0.0 96.7663484 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 25.0} 
1024 1 1 25.0 0.1 37.66 0.0360503 0.0464092 1.1352285 0.3923672 0.2332667 0.0194423 0.0065374 0.0 97.1440141 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 25.0} 
1152 1 1 25.0 0.1 35.71 0.0332652 0.0430131 1.1801836 0.2746019 0.1564388 0.018505 0.0056577 0.0 97.6354984 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 25.0} 
1280 2 2 72.5 0.29000000000000004 36.58 0.0272016 0.0429509 1.1480093 0.4040299 0.2608666 0.016817 0.004663 0.0 97.0225941 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 72.5} 
1408 2 2 72.5 0.29000000000000004 36.59 0.0261598 0.0446552 1.1295023 0.2565479 0.1474722 0.0146134 0.0050266 0.0 96.7436019 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 72.5} 
1536 2 2 72.5 0.29000000000000004 37.2 0.0257815 0.0398029 1.13247 0.2293863 0.1307232 0.0140015 0.0058038 0.0 97.4276483 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 72.5} 
1664 2 2 72.5 0.29000000000000004 37.17 0.0228297 0.0376484 1.1886001 0.2101031 0.0961974 0.0127137 0.0043143 0.0 97.7041924 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 72.5} 
1792 2 2 72.5 0.29000000000000004 36.5 0.0219714 0.0365023 1.2585053 0.1542698 0.0765793 0.0122606 0.0039015 0.0 97.7409094 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 72.5} 
1920 3 3 65.25 0.26100000000000007 35.63 0.0196524 0.0378801 1.2662375 0.2046792 0.1049164 0.0097121 0.003846 0.0 97.2227706 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 65.25} 
2048 3 3 65.25 0.26100000000000007 35.45 0.0190373 0.0374112 1.3475927 0.1291999 0.0600035 0.0102864 0.0042906 0.0 97.3660691 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 65.25} 
2176 3 3 65.25 0.26100000000000007 34.75 0.018083 0.0350609 1.3568429 0.0848693 0.0530997 0.0107955 0.0037925 0.0 97.6170286 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 65.25} 
2304 3 3 65.25 0.26100000000000007 35.97 0.0176569 0.0324877 1.3034636 0.0976404 0.0492808 0.0092389 0.0033612 0.0 98.0301388 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 65.25} 
2432 3 3 65.25 0.26100000000000007 36.55 0.0165115 0.0314075 1.3626267 0.0864489 0.0391957 0.0087426 0.0031223 0.0 98.3047876 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 65.25} 
2560 4 4 108.725 0.43490000000000006 37.54 0.0160555 0.0348979 1.3000726 0.0940523 0.040732 0.0082904 0.0037048 0.0 97.5049362 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 108.725} 
2688 4 4 108.725 0.43490000000000006 37.35 0.0156109 0.0354634 1.4580104 0.0712315 0.0314997 0.0083688 0.003499 0.0 97.5095378 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 108.725} 
2816 4 4 108.725 0.43490000000000006 38.25 0.0159744 0.0309792 1.4188712 0.0371327 0.0320236 0.0084182 0.0031908 0.0 98.0551302 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 108.725} 
2944 4 4 108.725 0.43490000000000006 38.05 0.0159521 0.0336573 1.4706986 0.0030415 0.0305661 0.0085269 0.0035272 0.0 97.8757326 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 108.725} 
3072 4 4 108.725 0.43490000000000006 38.74 0.0158149 0.0307268 1.5191546 -0.0051159 0.0279365 0.0085749 0.0032423 0.0 98.270522 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 108.725} 
3200 4 4 108.725 0.43490000000000006 36.75 0.0144204 0.0314729 1.5389876 0.0187932 0.0262758 0.0081146 0.0028856 0.0 98.0043517 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 108.725} 
3328 5 5 172.8525 0.6914100000000001 35.85 0.0146477 0.031256 1.475943 0.0139463 0.0251725 0.0074743 0.0036996 0.0 97.8687225 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 172.8525} 
3456 5 5 172.8525 0.6914100000000001 37.1 0.0151564 0.0299458 1.6129049 -0.0045452 0.0224883 0.0079172 0.0035326 0.0 98.1667874 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 172.8525} 
3584 5 5 172.8525 0.6914100000000001 35.9 0.0149689 0.0297626 1.6861267 -0.0181926 0.023678 0.0079602 0.0035893 0.0 98.1937955 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 172.8525} 
3712 5 5 172.8525 0.6914100000000001 37.03 0.0157957 0.0275596 1.7247563 0.0063692 0.0226241 0.0077259 0.0032677 0.0 98.5256471 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 172.8525} 
3840 5 5 172.8525 0.6914100000000001 36.02 0.014685 0.0297572 1.6932487 0.0024871 0.0229711 0.0076999 0.0034999 0.0 98.221285 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 172.8525} 
3968 6 6 155.56725 0.6222690000000001 36.52 0.0152337 0.0279273 1.7449441 -0.0297108 0.022902 0.0083607 0.0039085 0.0 98.2627705 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 155.56725} 
4096 6 6 155.56725 0.6222690000000001 35.89 0.0152324 0.0276303 1.7284691 -0.0297245 0.0203466 0.0081285 0.0034793 0.0 98.3916608 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 155.56725} 
4224 6 6 155.56725 0.6222690000000001 36.16 0.0148545 0.0261673 1.9167724 -0.0347188 0.0200887 0.0079697 0.0037928 0.0 98.7699872 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 155.56725} 
4352 6 6 155.56725 0.6222690000000001 36.07 0.0147239 0.0285858 1.8566862 -0.0023645 0.0200491 0.0071275 0.0032492 0.0 98.1642308 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 155.56725} 
4480 6 6 140.010525 0.5600421000000001 34.89 0.0145766 0.0284841 2.0623992 -0.0301209 0.0184162 0.0071801 0.0028375 0.0 98.2709711 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 140.010525} 
4608 7 7 140.010525 0.5600421000000001 35.31 0.0143808 0.0267988 1.9450747 -0.0343134 0.0168187 0.0076231 0.0033294 0.0 98.6183028 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 140.010525} 
4736 7 7 140.010525 0.5600421000000001 36.17 0.0140237 0.0253049 1.9309501 -0.032516 0.0249597 0.008625 0.0136751 0.0 98.5823802 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 140.010525} 
4864 7 7 140.010525 0.5600421000000001 36.5 0.0161876 0.0256261 1.9418171 -0.017713 0.0231672 0.0071178 0.0038726 0.0 98.7729975 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 140.010525} 
4992 7 7 140.010525 0.5600421000000001 36.92 0.0155726 0.0257049 1.9426261 -0.0342386 0.0411447 0.0095302 0.0141685 0.0 98.482385 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 140.010525} 
5120 7 7 140.010525 0.5600421000000001 37.38 0.0152271 0.0275038 2.2595833 -0.0180648 0.0300123 0.0078423 0.005125 0.0 98.235124 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 140.010525} 
5248 7 7 140.010525 0.5600421000000001 38.13 0.0175758 0.0242686 2.399781 -0.0491122 0.0328334 0.0095322 0.004349 0.0 98.8879852 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 140.010525} 
5376 8 8 176.00947250000002 0.7040378900000002 38.36 0.016747 0.0249977 2.1845697 -0.0279336 0.0211688 0.0078307 0.0031865 0.0 98.7763913 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 176.00947250000002} 
5504 8 8 176.00947250000002 0.7040378900000002 38.78 0.0161477 0.026059 2.3725798 -0.0039204 0.0199454 0.0080133 0.003157 0.0 98.3635643 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 176.00947250000002} 
5632 8 8 176.00947250000002 0.7040378900000002 37.97 0.0176984 0.0276363 2.2764397 -0.0597805 0.050734 0.0102854 0.0227807 0.0 98.2482599 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 176.00947250000002} 
5760 8 8 176.00947250000002 0.7040378900000002 38.78 0.017858 0.026099 2.287444 -0.0506046 0.0312992 0.0098371 0.0060394 0.0 98.3597863 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 176.00947250000002} 
5888 9 9 158.40852525000003 0.6336341010000002 38.44 0.0175438 0.0255635 2.3830043 -0.0616123 0.0270428 0.0096175 0.0044503 0.0 98.5596904 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 158.40852525000003} 
6016 9 9 158.40852525000003 0.6336341010000002 39.13 0.0180696 0.0234814 2.2968041 -0.0630154 0.0234389 0.0096386 0.0046074 0.0 98.7886545 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 158.40852525000003} 
6144 9 9 158.40852525000003 0.6336341010000002 37.57 0.0199956 0.0256462 2.62995 -0.0808912 0.0694477 0.0128567 0.0356132 0.0 98.4971513 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 158.40852525000003} 
6272 9 9 158.40852525000003 0.6336341010000002 39.57 0.0184292 0.0242328 2.5020503 -0.031777 0.0283389 0.0098544 0.0062435 0.0 98.6037654 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 158.40852525000003} 
6400 10 10 177.56767272500002 0.7702706909000001 39.47 0.0181137 0.0229384 2.6981238 -0.0318891 0.0228487 0.0095993 0.0049795 0.0 98.8732198 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 177.56767272500002} 
6528 10 10 177.56767272500002 0.7702706909000001 39.14 0.0208292 0.0245104 2.7567832 -0.0293037 0.0288561 0.009616 0.0061402 0.0 98.6821518 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 177.56767272500002} 
6656 10 10 177.56767272500002 0.7702706909000001 39.74 0.0193368 0.0236586 2.9012165 -0.0274668 0.0233047 0.01025 0.0043052 0.0 98.719562 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 177.56767272500002} 
6784 10 10 177.56767272500002 0.7702706909000001 38.94 0.0196377 0.0225835 2.9190197 -0.0271267 0.0257662 0.0105663 0.0051938 0.0 98.8801712 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 177.56767272500002} 
6912 10 10 177.56767272500002 0.7702706909000001 39.33 0.0207639 0.0240487 2.942359 -0.0161974 0.0241616 0.0103922 0.0048832 0.0 98.5727782 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 177.56767272500002} 
7040 11 11 159.81090545250004 0.6932436218100001 39.82 0.024995 0.0236162 3.0604801 -0.0371551 0.0254322 0.0115321 0.0050385 0.0 98.7725751 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 159.81090545250004} 
7168 11 11 159.81090545250004 0.6932436218100001 39.17 0.0238681 0.0227508 3.0698678 -0.0604757 0.0284074 0.0127221 0.0057437 0.0 98.7001676 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 159.81090545250004} 
7296 11 11 159.81090545250004 0.6932436218100001 38.3 0.0231471 0.0217132 3.5121155 -0.0691302 0.0270393 0.0138322 0.0057394 0.0 98.9125175 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 159.81090545250004} 
7424 11 11 159.81090545250004 0.6932436218100001 38.38 0.0231042 0.0224877 3.2786651 -0.0124501 0.0241293 0.0115784 0.0053665 0.0 98.8937958 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 159.81090545250004} 
7552 12 12 168.82981490725004 0.7239192596290001 38.02 0.0221732 0.0224074 3.2995593 -0.0342618 0.0253727 0.0117273 0.0057362 0.0 98.7989223 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 168.82981490725004} 
7680 12 12 168.82981490725004 0.7239192596290001 37.71 0.0232798 0.0217201 3.2839266 -0.025813 0.0233891 0.0116176 0.0049495 0.0 98.9401048 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 168.82981490725004} 
7808 12 12 168.82981490725004 0.7239192596290001 37.99 0.0224566 0.0218438 3.7861523 -0.0313198 0.0292921 0.0119173 0.0052949 0.0 99.0320322 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 168.82981490725004} 
