128 0 0 0.0 0.0 23.56 0.0660114 0.0472415 0.9765636 -2.9824411 1.0037877 0.1991339 0.0148215 0.0 89.2141964 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 22.58 0.0377046 0.0368034 1.0430504 -0.1720441 0.1831373 0.0421796 0.0113901 0.0 97.659179 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 23.0 0.0255313 0.0333093 1.0264977 0.1916662 0.1197187 0.0184081 0.0073158 0.0 98.6947614 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 23.64 0.0191668 0.029887 1.0303158 0.2788231 0.1058083 0.0119161 0.0049588 0.0 98.8239043 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 24.23 0.0146998 0.0276162 1.0386781 0.2485141 0.0668607 0.0089659 0.0039884 0.0 99.0928537 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 26.07 0.0123479 0.0271048 1.0437101 0.2359728 0.0520963 0.0073049 0.0036533 0.0 98.9654519 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 28.72 0.0106623 0.0249667 1.071942 0.2215001 0.0443853 0.006304 0.0033683 0.0 99.0882297 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 2 2 0.0 0.0 28.38 0.0090982 0.0242646 1.0712043 0.1935712 0.0293626 0.005222 0.0027001 0.0 99.2736279 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 2 2 0.0 0.0 28.88 0.0082906 0.0227483 1.0764605 0.1590447 0.0200771 0.0048532 0.0025897 0.0 99.4081935 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 2 2 0.0 0.0 31.91 0.0077081 0.0216906 1.0795073 0.1388193 0.0170194 0.0042663 0.002373 0.0 99.3011769 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 3 3 0.0 0.0 33.02 0.0068823 0.0223562 1.0939507 0.1244846 0.0109696 0.0035851 0.0019334 0.0 99.2099722 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 3 3 0.0 0.0 35.82 0.0059612 0.0221971 1.0883922 0.0971018 0.0082088 0.003424 0.0017152 0.0 99.0942113 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1664 3 3 0.0 0.0 37.0 0.0056149 0.0203729 1.1054745 0.0837374 0.0070411 0.0030368 0.0015569 0.0 99.236132 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1792 3 3 0.0 0.0 37.28 0.0053572 0.0210534 1.1048123 0.0753685 0.0054974 0.0028922 0.0014307 0.0 99.0310322 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
1920 3 3 0.0 0.0 38.64 0.0047186 0.0212483 1.0910983 0.067005 0.0046277 0.0025112 0.0012678 0.0 98.9188466 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2048 3 3 0.0 0.0 36.06 0.0045783 0.0202285 1.10238 0.0565556 0.0034808 0.002491 0.0017439 0.0 99.1876462 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2176 3 3 0.0 0.0 35.68 0.004321 0.021033 1.1107183 0.0448001 0.002642 0.0024456 0.0013235 0.0 99.0987272 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2304 3 3 0.0 0.0 35.58 0.0041354 0.020465 1.1322897 0.0433889 0.0022992 0.002089 0.0011645 0.0 99.0252798 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2432 4 4 0.0 0.0 35.64 0.0040636 0.0196687 1.1465165 0.0341665 0.0017469 0.0022281 0.0018264 0.0 99.0696664 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2560 4 4 0.0 0.0 36.85 0.0039633 0.0197149 1.1699997 0.0290624 0.0014206 0.0020347 0.0015888 0.0 99.1545961 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2688 5 5 0.0 0.0 37.96 0.0037638 0.0198435 1.1823072 0.0241142 0.0014065 0.0020384 0.0019168 0.0 99.0453388 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2816 5 5 0.0 0.0 37.4 0.0037849 0.0204869 1.1718851 0.0183868 0.00103 0.0019947 0.0013725 0.0 98.9956606 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
2944 5 5 0.0 0.0 37.14 0.0037034 0.018958 1.2211048 0.0158044 0.0009181 0.0019098 0.0011895 0.0 99.3040201 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3072 5 5 0.0 0.0 37.93 0.0036634 0.0190726 1.2590097 0.0123679 0.0007877 0.001913 0.0011578 0.0 99.0802949 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3200 6 6 0.0 0.0 35.67 0.0039416 0.0181653 1.2853453 0.0074124 0.0007039 0.0020809 0.0012556 0.0 99.5038219 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3328 6 6 0.0 0.0 37.49 0.0036123 0.0179245 1.2896516 0.0055539 0.0006571 0.0020533 0.0013306 0.0 99.2350263 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3456 6 6 0.0 0.0 35.73 0.0036989 0.0199566 1.3015607 0.0059621 0.0006069 0.0018486 0.0012318 0.0 99.1472932 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3584 6 6 0.0 0.0 36.03 0.0036809 0.0182849 1.2888844 0.0042543 0.0005308 0.0018617 0.0010883 0.0 99.3797006 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3712 6 6 0.0 0.0 35.22 0.0034739 0.0178144 1.2862881 0.0022061 0.0005567 0.0019527 0.0010513 0.0 99.2344431 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3840 7 7 0.0 0.0 35.49 0.0032161 0.017756 1.2580847 0.0039425 0.0005011 0.0017459 0.0009266 0.0 99.2463727 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
3968 7 7 0.0 0.0 35.65 0.0033073 0.0172386 1.2638989 0.0033884 0.0004432 0.0017174 0.0011174 0.0 99.2583696 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4096 7 7 0.0 0.0 36.44 0.0036019 0.0192138 1.257444 -0.0011078 0.000514 0.0018551 0.0013664 0.0 99.1064628 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4224 7 7 0.0 0.0 37.08 0.0034969 0.0181855 1.2520982 -0.002776 0.0005171 0.0019587 0.0013363 0.0 99.4304865 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4352 7 7 0.0 0.0 37.26 0.0033865 0.0169863 1.2625343 -0.0003454 0.0004543 0.0017748 0.0011102 0.0 99.2332821 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4480 7 7 0.0 0.0 38.18 0.0034648 0.017464 1.2887653 0.0005037 0.0004174 0.0016856 0.0010382 0.0 99.1111365 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4608 7 7 0.0 0.0 37.75 0.0033012 0.0169659 1.2902753 -0.0034344 0.0003673 0.0018492 0.0010034 0.0 99.2237502 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4736 7 7 0.0 0.0 37.47 0.0038858 0.0184787 1.3599281 -0.0030189 0.0004128 0.0017696 0.0010748 0.0 98.9563754 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4864 7 7 0.0 0.0 37.1 0.0032941 0.0156065 1.3735281 -0.0047111 0.0003953 0.0019211 0.0010382 0.0 99.384334 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
4992 8 8 0.0 0.0 35.72 0.0032735 0.017675 1.3848602 -0.0019759 0.000396 0.0017328 0.0010644 0.0 99.0745345 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
5120 8 8 0.0 0.0 35.73 0.0033337 0.016207 1.3717431 -0.0036358 0.0004051 0.0018236 0.0011276 0.0 99.3434498 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
5248 8 8 0.0 0.0 36.63 0.003564 0.0183239 1.3494375 -0.0044498 0.000415 0.0018624 0.0011224 0.0 99.0254116 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
5376 8 8 0.0 0.0 36.99 0.0036505 0.0180336 1.3211494 -0.0058244 0.0004067 0.0019799 0.0011079 0.0 99.0998185 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
5504 8 8 0.0 0.0 37.81 0.0036935 0.0183243 1.337206 -0.0073934 0.0004042 0.0020536 0.0011052 0.0 99.0832388 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
5632 9 9 0.0 0.0 35.84 0.0037632 0.0181543 1.3578427 -0.00515 0.0004308 0.0019204 0.0011471 0.0 98.9986043 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
5760 9 9 0.0 0.0 36.4 0.003625 0.017514 1.3158414 -0.0047439 0.000434 0.0019101 0.0010633 0.0 99.1114179 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
5888 10 10 0.0 0.0 35.2 0.0040698 0.0158704 1.3669095 -0.0043734 0.0004697 0.0019736 0.0011493 0.0 99.4722824 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
6016 10 10 0.0 0.0 36.48 0.0038494 0.0169431 1.451373 -0.00579 0.000448 0.0020779 0.0011113 0.0 99.0984279 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
6144 10 10 0.0 0.0 37.34 0.0036741 0.0173154 1.4497343 -0.0042631 0.0003891 0.0019809 0.0010118 0.0 99.0161927 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
6272 10 10 0.0 0.0 37.32 0.0035242 0.0161976 1.6046897 -0.0037338 0.0004516 0.0019026 0.0009913 0.0 99.1920583 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
6400 10 10 0.0 0.0 37.46 0.0036492 0.0150906 1.5999963 -0.0021548 0.000437 0.0018498 0.0009349 0.0 99.1573163 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
6528 11 11 0.0 0.0 34.89 0.003753 0.0160924 1.6331078 -0.002775 0.0004062 0.0018769 0.0010112 0.0 99.1813712 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
6656 11 11 0.0 0.0 35.62 0.0038162 0.0154059 1.5029957 -0.0078968 0.0004383 0.0022686 0.0011533 0.0 99.2446783 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
6784 12 12 0.0 0.0 36.78 0.0043981 0.0164061 1.550374 -0.0042245 0.0004839 0.0020617 0.001046 0.0 99.1450654 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
6912 12 12 0.0 0.0 37.91 0.0035037 0.0148982 1.6114957 -0.0061241 0.0004174 0.0021061 0.0010182 0.0 99.1884885 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
7040 12 12 0.0 0.0 36.59 0.0037979 0.0144215 1.6545207 -0.002648 0.0003695 0.0017805 0.0009564 0.0 99.3138118 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
7168 12 12 0.0 0.0 34.96 0.0036914 0.0147696 1.7041529 -0.0046965 0.0003868 0.0019654 0.000986 0.0 99.0641515 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
7296 13 13 0.0 0.0 36.91 0.0034503 0.0127171 1.6776589 -0.0032572 0.0003261 0.0017673 0.0009395 0.0 99.3401668 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
7424 13 13 0.0 0.0 35.82 0.00379 0.0139963 1.7352147 -0.0069591 0.0005725 0.002011 0.0016429 0.0 99.2138806 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
7552 14 14 0.0 0.0 36.81 0.003661 0.0128234 1.7167915 -0.0048906 0.0003689 0.0019411 0.000991 0.0 99.4783811 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
7680 14 14 0.0 0.0 36.33 0.0036495 0.0142505 1.6907742 -0.0049708 0.0003329 0.0019523 0.0009664 0.0 99.1058687 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
7808 14 14 0.0 0.0 36.98 0.003574 0.0141657 1.7195046 -0.0031388 0.0003336 0.001815 0.0010399 0.0 99.0749942 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
7936 15 15 0.0 0.0 37.31 0.0037236 0.0144524 1.7636379 -0.0052497 0.0005281 0.0020044 0.0014608 0.0 99.0608628 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
8064 15 15 0.0 0.0 36.79 0.0037458 0.0147009 1.773927 -0.0120454 0.0028579 0.0023626 0.0053282 0.0 99.0895238 0.0  {'room_id': 1, 'explored_rooms': 1, 'raw_score': 0.0} 
