128 0 0 0.0 0.0 5.21 0.1286653 0.0759608 1.3651744 -13.4486212 28.0133649 0.90665 0.0002226 0.0 84.2901026 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 1 1 0.0 0.0 4.92 0.0285758 0.0707966 1.3612993 0.9804225 6.1158096 0.0915654 0.0122526 0.0 91.9256706 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 1 1 0.0 0.0 4.85 0.0129142 0.0688763 1.3213505 1.8025402 2.6084369 0.0137225 0.0051062 0.0 92.7767085 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 1 1 0.0 0.0 4.88 0.0090356 0.0637826 1.2879657 1.5428135 1.4961752 0.0058228 0.0030512 0.0 93.3425293 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 1 1 0.0 0.0 4.83 0.0073491 0.0668095 1.3069615 1.2585898 0.8095824 0.0042248 0.0011425 0.0 92.9047529 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 1 1 0.0 0.0 4.86 0.0064986 0.0622628 1.3514408 1.0167416 0.490695 0.0036406 0.0007603 0.0 93.3410591 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 1 1 0.0 0.0 4.79 0.0057312 0.063767 1.3943023 0.8708005 0.3930148 0.003029 0.0005857 0.0 93.1829017 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 1 1 0.0 0.0 4.94 0.0054084 0.0597336 1.4871429 0.9061626 0.6471926 0.0030395 0.0005288 0.0 93.7057748 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 2 2 0.0 0.0 4.8 0.0051007 0.0641488 1.6032258 0.6279712 0.2657126 0.0032968 0.000563 0.0 93.1194778 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 2 2 0.0 0.0 4.83 0.004652 0.063738 1.4918939 0.5286238 0.1857214 0.0023324 0.0004511 0.0 93.2194616 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 2 2 0.0 0.0 4.76 0.004525 0.0608672 1.4780085 0.4334632 0.1290529 0.0022162 0.0004001 0.0 93.4806702 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 2 2 0.0 0.0 4.91 0.0045268 0.063464 1.4565954 0.3596042 0.0859259 0.0022045 0.0004051 0.0 93.0833884 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1664 2 2 0.0 0.0 4.78 0.0043413 0.0596205 1.5191524 0.2612425 0.0397555 0.0021986 0.0005314 0.0 93.7101529 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1792 2 2 0.0 0.0 4.85 0.0040946 0.0604683 1.6393478 0.2254038 0.0315999 0.002109 0.0003673 0.0 93.5585283 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1920 2 2 0.0 0.0 4.89 0.0041597 0.0612663 1.7746117 0.192718 0.0238106 0.0021649 0.0003482 0.0 93.4654585 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2048 2 2 0.0 0.0 4.92 0.0041083 0.0610506 1.8303248 0.1974763 0.0393587 0.0020116 0.0003575 0.0 93.5044627 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2176 3 3 0.0 0.0 4.79 0.0040485 0.0589845 1.9518852 0.1384603 0.0171805 0.0020294 0.0003778 0.0 93.6178996 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2304 3 3 0.0 0.0 4.89 0.0043813 0.0636169 1.9204428 0.1144905 0.0134638 0.0021213 0.0003673 0.0 93.1670037 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2432 3 3 0.0 0.0 4.74 0.0045051 0.060257 1.7773609 0.0863908 0.0103213 0.0023948 0.0027599 0.0 93.5582494 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2560 3 3 0.0 0.0 4.79 0.0044509 0.0602221 2.0173952 0.0741581 0.0062885 0.0020016 0.0006656 0.0 93.4832999 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2688 3 3 0.0 0.0 4.77 0.0049069 0.0636607 1.8806773 0.0531126 0.0031406 0.0022102 0.0005778 0.0 93.0282906 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2816 3 3 0.0 0.0 4.92 0.0048599 0.0610717 1.8124504 0.0350646 0.003023 0.0028714 0.0007112 0.0 93.3923239 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2944 3 3 0.0 0.0 5.49 0.0051744 0.0602337 1.9080835 0.036451 0.0028285 0.0024273 0.000769 0.0 93.4026759 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3072 3 3 0.0 0.0 6.54 0.0065033 0.0676962 1.764224 0.0360005 0.0046199 0.0026667 0.0010085 0.0 92.2840893 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3200 4 4 0.0 0.0 6.48 0.0073669 0.0576442 1.6434092 0.0082999 0.0026616 0.0035269 0.0017423 0.0 93.4774449 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3328 4 4 0.0 0.0 6.45 0.0082409 0.057598 1.6192479 -0.0003893 0.0026912 0.0040651 0.0021312 0.0 93.4137054 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3456 4 4 0.0 0.0 6.45 0.0089956 0.0572707 1.7132157 -0.0113135 0.0025469 0.0046073 0.0023815 0.0 93.5317796 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3584 4 4 0.0 0.0 6.72 0.0087651 0.0543208 1.7737456 -0.0129074 0.0024637 0.0045701 0.0026319 0.0 94.1456954 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3712 4 4 0.0 0.0 6.58 0.0092918 0.055616 1.5385935 -0.0170355 0.0019754 0.0047765 0.0021716 0.0 93.9346223 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
3840 4 4 0.0 0.0 6.7 0.0085238 0.0545902 1.4538388 -0.0171464 0.0023612 0.0049459 0.002266 0.0 94.2418197 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
