128 0 0 0.0 0.0 28.81 0.084367 0.1046468 1.2143437 -9.2365343 10.8111975 0.6233553 0.072199 0.0 80.6844648 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
256 0 0 0.0 0.0 28.36 0.0791149 0.0753599 1.1450656 -0.8087338 1.8765992 0.1287463 0.0940417 0.0 92.8453268 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
384 0 0 0.0 0.0 27.78 0.0603081 0.0615833 1.1145265 0.4069149 0.7053534 0.0483182 0.0173388 0.0 94.8861236 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
512 0 0 0.0 0.0 29.86 0.0526592 0.0606127 1.1346034 0.5417907 0.5407485 0.0325855 0.008585 0.0 94.7860004 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
640 1 1 0.0 0.0 34.78 0.0412524 0.0616099 1.1300387 1.0806909 1.3513248 0.0262681 0.0088916 0.0 94.450676 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
768 1 1 0.0 0.0 38.3 0.0387747 0.0625011 1.0827306 0.5461044 0.4252176 0.0234734 0.0074409 0.0 94.9749134 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
896 1 1 0.0 0.0 37.9 0.0347304 0.0477278 1.1329979 0.3278914 0.2868592 0.0241321 0.008171 0.0 96.8509531 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
1024 1 1 0.0 0.0 37.41 0.0321281 0.0486676 1.2037817 0.3870407 0.2109659 0.0179586 0.0054455 0.0 96.6404074 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
1152 1 1 0.0 0.0 36.36 0.0294461 0.0477033 1.2215121 0.3298842 0.2243339 0.0172155 0.0056033 0.0 96.2991085 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
1280 1 1 0.0 0.0 37.81 0.0261388 0.0548677 1.1321211 0.4797628 0.262881 0.0138332 0.0050925 0.0 95.2441148 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
1408 1 1 0.0 0.0 34.9 0.0245709 0.044313 1.181859 0.2310189 0.1306465 0.0152092 0.0051716 0.0 96.8454684 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 0.0} 
1536 2 2 60.0 0.30000000000000004 35.06 0.0215508 0.0427336 1.1843479 0.1847246 0.0980361 0.0123345 0.0045979 0.0 97.1083916 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 60.0} 
1664 2 2 60.0 0.30000000000000004 34.08 0.0208984 0.0391074 1.225446 0.1703892 0.0763453 0.011546 0.0038675 0.0 97.5641437 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 60.0} 
1792 2 2 60.0 0.30000000000000004 36.42 0.019236 0.0399583 1.2736341 0.1722922 0.093211 0.0101239 0.0039019 0.0 97.2145946 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 60.0} 
1920 2 2 60.0 0.30000000000000004 35.45 0.017491 0.0428562 1.2641199 0.1705215 0.0750097 0.0093137 0.0039748 0.0 96.8217925 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 60.0} 
2048 2 2 60.0 0.30000000000000004 35.48 0.0172563 0.0370183 1.3201822 0.1184773 0.0508405 0.009447 0.0036754 0.0 97.5910198 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 60.0} 
2176 2 2 60.0 0.30000000000000004 36.52 0.0162574 0.0359176 1.342288 0.0974371 0.0494304 0.0086676 0.0033767 0.0 97.7109566 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 60.0} 
2304 2 2 60.0 0.30000000000000004 36.88 0.0164669 0.0336808 1.2881732 0.0347588 0.038188 0.0087893 0.0033063 0.0 98.0714225 0.0  {'room_id': 15, 'explored_rooms': 1, 'raw_score': 60.0} 
