128 0 0 0.0 0.0 6.96 0.1319611 0.0755612 1.4805302 -13.4925663 26.8385339 0.9066742 0.0002503 0.0 84.6831395 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 0 0 0.0 0.0 6.71 0.0258573 0.069421 1.3887552 0.943712 5.469182 0.0898336 0.0114958 0.0 92.0258918 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 0 0 0.0 0.0 6.7 0.0120513 0.0653555 1.4683631 1.8791086 2.8132266 0.0126824 0.0032311 0.0 92.8992571 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 1 1 0.0 0.0 6.65 0.0093926 0.0672652 1.5271287 1.6149384 1.7952939 0.0056879 0.0027139 0.0 92.7915067 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 2 2 0.0 0.0 6.48 0.0075977 0.0638816 1.577701 1.3315473 1.1047143 0.0043425 0.0014253 0.0 93.2271047 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 2 2 0.0 0.0 6.59 0.0066132 0.058859 1.6535762 1.0468655 0.5857473 0.003809 0.0008408 0.0 93.8542377 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 2 2 0.0 0.0 6.53 0.0057849 0.0640824 1.6839428 0.8521785 0.3292193 0.0032314 0.0006617 0.0 93.1357953 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 2 2 0.0 0.0 6.66 0.0056413 0.0620262 1.6136589 0.8379041 0.5186175 0.0028071 0.0006343 0.0 93.4682155 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 2 2 0.0 0.0 6.63 0.004965 0.0664801 1.7198834 0.6231634 0.2655297 0.0026821 0.0005285 0.0 92.8675173 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 3 3 0.0 0.0 6.79 0.0047233 0.0627333 1.9431315 0.5148152 0.1692572 0.0023658 0.0004484 0.0 93.2014974 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 3 3 0.0 0.0 6.69 0.0043902 0.0635692 1.7673969 0.4140179 0.1186533 0.0023195 0.0004485 0.0 93.2343085 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 3 3 0.0 0.0 6.67 0.0044395 0.0616016 1.6768534 0.3447443 0.0821557 0.0021278 0.0003977 0.0 93.4343973 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1664 3 3 0.0 0.0 6.71 0.0042291 0.0606192 1.7743394 0.2685 0.0411953 0.0020706 0.0003984 0.0 93.5325377 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1792 3 3 0.0 0.0 6.63 0.0040568 0.0626013 1.7622925 0.2121174 0.0246727 0.0020594 0.0004316 0.0 93.2410558 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1920 3 3 0.0 0.0 7.03 0.0044054 0.0637993 1.9908878 0.1793763 0.0197049 0.0020017 0.0004493 0.0 93.0909456 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2048 3 3 0.0 0.0 7.08 0.0042662 0.0566707 2.1309284 0.1752528 0.0296904 0.0021411 0.0004968 0.0 93.9392944 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2176 3 3 0.0 0.0 9.19 0.0046405 0.0605471 2.2740516 0.1265363 0.016177 0.0022122 0.0004716 0.0 93.3868729 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2304 4 4 0.0 0.0 9.45 0.0048714 0.0591348 2.2788932 0.0980985 0.0103663 0.0022573 0.0006131 0.0 93.5850896 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2432 4 4 0.0 0.0 9.94 0.0049504 0.0579887 2.0302373 0.0763454 0.0079193 0.0024237 0.0007729 0.0 93.7374874 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
