128 0 0 0.0 0.0 10.61 0.1340106 0.0734505 1.553275 -13.3931805 28.3869476 0.9066844 0.0001915 0.0 84.5569115 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
256 0 0 0.0 0.0 9.99 0.0291672 0.0671097 1.4311556 0.9061218 5.3592106 0.0911661 0.0131173 0.0 92.2882316 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
384 2 2 0.0 0.0 9.79 0.0152236 0.0670912 1.5087543 1.9175175 3.0524419 0.0140522 0.0072533 0.0 92.6569429 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
512 3 3 0.0 0.0 10.36 0.0123072 0.0651064 1.5010199 1.5965424 1.8501153 0.0076733 0.0090378 0.0 93.0917667 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
640 3 3 0.0 0.0 10.22 0.0085883 0.0644912 1.6354998 1.2544956 1.0048312 0.0050139 0.0022295 0.0 93.1550897 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
768 3 3 0.0 0.0 10.1 0.0071696 0.0617847 1.6718678 1.0813783 0.7782899 0.0040307 0.0009493 0.0 93.4238209 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
896 3 3 0.0 0.0 10.13 0.0060557 0.0603011 1.7103249 0.8419982 0.4022687 0.0032672 0.0006294 0.0 93.6097316 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1024 3 3 0.0 0.0 9.88 0.0057882 0.0639971 1.9593187 0.7915275 0.4561199 0.0028966 0.0006618 0.0 93.1931573 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1152 3 3 0.0 0.0 9.89 0.0052526 0.0569559 1.7804291 0.5621203 0.1844576 0.002709 0.0005007 0.0 94.0306523 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1280 3 3 0.0 0.0 9.87 0.0056449 0.0562385 1.70272 0.4966142 0.1679546 0.0025235 0.0004463 0.0 94.0788944 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1408 3 3 0.0 0.0 9.42 0.0049488 0.0561474 1.6384291 0.3924841 0.1016688 0.0026644 0.0008401 0.0 94.0807999 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1536 4 4 0.0 0.0 9.75 0.0046233 0.0580435 1.7964707 0.3426893 0.086485 0.0024502 0.0004501 0.0 93.8910291 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1664 4 4 0.0 0.0 9.65 0.0047947 0.0561969 1.8721817 0.2648899 0.0466034 0.0022934 0.0004302 0.0 94.0551278 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1792 4 4 0.0 0.0 9.5 0.0046338 0.0591533 1.8380794 0.2228032 0.0378395 0.0024291 0.0004604 0.0 93.6326951 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
1920 4 4 0.0 0.0 9.78 0.0053513 0.0579818 2.0684335 0.1860138 0.027179 0.0024709 0.0028288 0.0 93.7866211 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2048 4 4 0.0 0.0 9.21 0.005326 0.061023 2.077519 0.1630298 0.0251862 0.0024632 0.0008651 0.0 93.3496877 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2176 4 4 0.0 0.0 9.73 0.0053846 0.0559539 2.0453847 0.1171192 0.0128943 0.0028258 0.0008447 0.0 93.953458 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
2304 4 4 0.0 0.0 9.81 0.0052019 0.0556874 2.1332716 0.0976111 0.0102026 0.0026573 0.0012793 0.0 94.0222567 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
