128 0 0 0.0 0.0 29.3 0.2183335 0.0855568 1.2628963 -13.0600752 20.8816554 0.8769687 0.0325699 0.0 81.9232685 0.0  {'room_id': 41, 'explored_rooms': 2, 'raw_score': 0.0} 
256 0 0 0.0 0.0 29.88 0.193329 0.0562871 1.3040052 -1.1940133 4.9315986 0.2160225 0.1063662 0.0 95.9851104 0.0  {'room_id': 5, 'explored_rooms': 2, 'raw_score': 0.0} 
384 0 0 0.0 0.0 29.07 0.131541 0.0450744 1.1740909 0.6491913 2.1068573 0.0970933 0.0271028 0.0 97.6111264 0.0  {'room_id': 5, 'explored_rooms': 2, 'raw_score': 0.0} 
512 0 0 0.0 0.0 32.0 0.1107729 0.0401064 1.1032877 0.96333 1.4602663 0.0669161 0.0204604 0.0 98.3529064 0.0  {'room_id': 73, 'explored_rooms': 3, 'raw_score': 0.0} 
640 0 0 0.0 0.0 35.21 0.0901016 0.0375981 1.0776938 0.9515802 1.2128284 0.0571293 0.0132216 0.0 98.1913981 0.0  {'room_id': 127, 'explored_rooms': 4, 'raw_score': 0.0} 
768 0 0 0.0 0.0 37.94 0.0777857 0.0371099 1.1006436 0.8715673 0.9345562 0.0507092 0.0119806 0.0 98.1266264 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
896 0 0 0.0 0.0 37.74 0.0688722 0.0363375 1.1365579 0.8482333 0.7655295 0.0432358 0.0084684 0.0 97.8344076 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1024 0 0 0.0 0.0 38.71 0.0682924 0.0388286 1.1914428 0.7370893 0.6718796 0.0420249 0.0071809 0.0 97.5320993 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1152 0 0 0.0 0.0 35.5 0.0612673 0.0382783 1.2063141 0.6550749 0.5690642 0.0380138 0.0085966 0.0 97.7175289 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1280 0 0 0.0 0.0 35.92 0.0566521 0.0388143 1.2339196 0.6855631 0.4885515 0.0308044 0.0076735 0.0 97.725889 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1408 0 0 0.0 0.0 35.38 0.0499965 0.0367771 1.2455973 0.6219445 0.3568706 0.0265707 0.007577 0.0 97.6365267 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1536 0 0 0.0 0.0 34.31 0.0445422 0.0346126 1.2445209 0.5404032 0.3255485 0.0261598 0.0098682 0.0 97.7877257 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1664 0 0 0.0 0.0 35.74 0.042466 0.0336202 1.2506211 0.4973613 0.2350069 0.0230711 0.0085138 0.0 97.7974435 0.0  {'room_id': 127, 'explored_rooms': 5, 'raw_score': 0.0} 
1792 0 0 0.0 0.0 36.91 0.0420507 0.0349922 1.2924436 0.3491425 0.1869517 0.0272006 0.0079898 0.0 97.5498091 0.0  {'room_id': 16, 'explored_rooms': 5, 'raw_score': 0.0} 
1920 0 0 0.0 0.0 36.74 0.0580367 0.0361994 1.3913166 0.1715358 0.199653 0.0370705 0.0082062 0.0 97.8126894 0.0  {'room_id': 73, 'explored_rooms': 5, 'raw_score': 0.0} 
2048 0 0 0.0 0.0 37.68 0.0549349 0.0360653 1.3895442 0.2179509 0.1825763 0.0346549 0.0096253 0.0 98.0813079 0.0  {'room_id': 5, 'explored_rooms': 5, 'raw_score': 0.0} 
2176 0 0 0.0 0.0 37.74 0.0476546 0.0291535 1.3226253 0.2278427 0.1971511 0.0332223 0.008311 0.0 98.647722 0.0  {'room_id': 41, 'explored_rooms': 5, 'raw_score': 0.0} 
