3840 1 1 10.0 0.1 34.84 0.025219 0.0216505 1.5151688 -0.0253422 0.0632145 0.0184383 0.0034425 0.0 98.9193886 0.0  {'room_id': 102, 'explored_rooms': 46, 'raw_score': 10.0} 
3968 1 1 10.0 0.1 35.92 0.0223147 0.0210938 1.4443399 0.0248059 0.0668569 0.0150211 0.0096747 0.0 98.9930737 0.0  {'room_id': 70, 'explored_rooms': 47, 'raw_score': 10.0} 
4096 1 1 10.0 0.1 35.34 0.0272865 0.0262243 1.4350071 -0.0173204 0.102268 0.0169854 0.0094228 0.0 97.9252713 0.0  {'room_id': 10, 'explored_rooms': 48, 'raw_score': 10.0} 
4224 1 1 10.0 0.1 37.86 0.0885026 0.053452 1.6964593 0.0040184 0.1051865 0.0219107 0.0069915 0.0 94.8598917 0.0  {'room_id': 10, 'explored_rooms': 48, 'raw_score': 10.0} 
4352 1 1 10.0 0.1 37.28 0.0398161 0.0563064 1.612588 0.0110386 0.0945684 0.0299329 0.0081542 0.0 95.6052205 0.0  {'room_id': 10, 'explored_rooms': 48, 'raw_score': 10.0} 
4480 1 1 10.0 0.1 38.05 0.0219355 0.0513377 1.5713365 0.1707345 0.0749602 0.0197542 0.0052675 0.0 96.6948005 0.0  {'room_id': 10, 'explored_rooms': 48, 'raw_score': 10.0} 
4608 1 1 10.0 0.1 38.49 0.0172352 0.046385 1.6004678 0.2044965 0.0725009 0.0161228 0.0040228 0.0 97.3093164 0.0  {'room_id': 10, 'explored_rooms': 48, 'raw_score': 10.0} 
4736 1 1 10.0 0.1 38.09 0.014745 0.040979 1.5342344 0.2095595 0.0608971 0.0153108 0.0042184 0.0 97.8689607 0.0  {'room_id': 10, 'explored_rooms': 48, 'raw_score': 10.0} 
4864 1 1 10.0 0.1 35.85 0.0124768 0.0394646 1.5011988 0.2580929 0.055176 0.0091764 0.0038445 0.0 97.8693918 0.0  {'room_id': 10, 'explored_rooms': 48, 'raw_score': 10.0} 
4992 1 1 10.0 0.1 35.59 0.0124286 0.038927 1.7225303 0.2466143 0.0399957 0.0075031 0.0040969 0.0 97.8896292 0.0  {'room_id': 10, 'explored_rooms': 48, 'raw_score': 10.0} 
5120 1 1 10.0 0.1 33.99 0.0135714 0.035936 1.6020983 0.1607255 0.0887618 0.0102686 0.0268549 0.0 98.1873274 0.0  {'room_id': 10, 'explored_rooms': 48, 'raw_score': 10.0} 
5248 1 1 10.0 0.1 36.74 0.0160264 0.0366286 1.6921857 0.110745 0.07971 0.0103917 0.0121775 0.0 98.0140472 0.0  {'room_id': 10, 'explored_rooms': 48, 'raw_score': 10.0} 
5376 1 1 10.0 0.1 36.77 0.0326418 0.0371654 1.7367258 -0.0636044 0.1476381 0.0194283 0.02197 0.0 97.9233157 0.0  {'room_id': 10, 'explored_rooms': 48, 'raw_score': 10.0} 
5504 2 2 -91.0 0.29000000000000004 38.26 0.0619109 0.030265 1.7396138 -1.9434827 0.692718 0.1782198 0.0673302 0.0 98.3136638 0.0  {'room_id': 41, 'explored_rooms': 48, 'raw_score': -91.0} 
5632 2 2 -91.0 0.29000000000000004 36.68 0.0362031 0.0238754 1.502811 0.0758315 0.2541904 0.0437911 0.0110361 0.0 98.7001616 0.0  {'room_id': 41, 'explored_rooms': 48, 'raw_score': -91.0} 
5760 2 2 -91.0 0.29000000000000004 37.17 0.0290611 0.0236418 1.4637885 0.3140133 0.1976354 0.0199565 0.0070441 0.0 98.6317816 0.0  {'room_id': 41, 'explored_rooms': 48, 'raw_score': -91.0} 
5888 2 2 -91.0 0.29000000000000004 37.41 0.0265088 0.0230409 1.535906 0.3898168 0.159304 0.0167239 0.00492 0.0 98.8363181 0.0  {'room_id': 41, 'explored_rooms': 48, 'raw_score': -91.0} 
6016 2 2 -91.0 0.29000000000000004 37.63 0.026551 0.0248464 1.5735068 0.3435806 0.1521236 0.0153541 0.0044572 0.0 98.5289538 0.0  {'room_id': 16, 'explored_rooms': 48, 'raw_score': -91.0} 
6144 2 2 -91.0 0.29000000000000004 37.06 0.0253469 0.0240285 1.5838819 0.2993415 0.1108637 0.0145334 0.0041557 0.0 98.7676844 0.0  {'room_id': 16, 'explored_rooms': 48, 'raw_score': -91.0} 
6272 2 2 -91.0 0.29000000000000004 36.83 0.0254164 0.0236376 1.6314671 0.2079018 0.0739664 0.0157247 0.0035671 0.0 98.9097959 0.0  {'room_id': 41, 'explored_rooms': 48, 'raw_score': -91.0} 
6400 2 2 -91.0 0.29000000000000004 37.31 0.0241212 0.0231241 1.7763788 0.109334 0.0671324 0.0170383 0.0040574 0.0 98.9467743 0.0  {'room_id': 16, 'explored_rooms': 48, 'raw_score': -91.0} 
6528 2 2 -91.0 0.29000000000000004 37.04 0.0235805 0.0232969 1.7584295 0.1376776 0.0590536 0.0142064 0.0033248 0.0 98.8459137 0.0  {'room_id': 80, 'explored_rooms': 48, 'raw_score': -91.0} 
6656 2 2 -91.0 0.29000000000000004 36.2 0.0224911 0.0216616 1.7300525 0.1209916 0.0584318 0.0123687 0.0047169 0.0 98.9746065 0.0  {'room_id': 60, 'explored_rooms': 48, 'raw_score': -91.0} 
6784 2 2 -91.0 0.29000000000000004 36.58 0.0193754 0.020541 1.6315488 0.1024672 0.0542346 0.0108849 0.0028638 0.0 99.243487 0.0  {'room_id': 32, 'explored_rooms': 48, 'raw_score': -91.0} 
6912 2 2 -91.0 0.29000000000000004 36.38 0.0186696 0.0197414 1.5437494 0.0904556 0.0471487 0.0100502 0.0028325 0.0 99.0899061 0.0  {'room_id': 66, 'explored_rooms': 48, 'raw_score': -91.0} 
7040 2 2 -91.0 0.29000000000000004 36.06 0.017792 0.0196145 1.5383431 0.063566 0.0385855 0.0100327 0.0027308 0.0 99.051382 0.0  {'room_id': 122, 'explored_rooms': 48, 'raw_score': -91.0} 
7168 2 2 -91.0 0.29000000000000004 35.56 0.0172836 0.0182862 1.7234707 0.0386153 0.034884 0.0109245 0.0026012 0.0 99.1232528 0.0  {'room_id': 73, 'explored_rooms': 48, 'raw_score': -91.0} 
7296 2 2 -91.0 0.29000000000000004 35.84 0.0168645 0.0179365 1.879101 -0.0323442 0.0352056 0.0122435 0.0027959 0.0 99.2573395 0.0  {'room_id': 74, 'explored_rooms': 48, 'raw_score': -91.0} 
7424 2 2 -91.0 0.29000000000000004 35.64 0.0158591 0.0183303 1.9049613 -0.0176446 0.0369797 0.0091561 0.0020654 0.0 99.0302562 0.0  {'room_id': 248, 'explored_rooms': 49, 'raw_score': -91.0} 
7552 2 2 -91.0 0.29000000000000004 35.91 0.0161223 0.0187501 1.9506358 -0.0327856 0.0758168 0.011906 0.0329006 0.0 99.0765989 0.0  {'room_id': 28, 'explored_rooms': 50, 'raw_score': -91.0} 
7680 2 2 -91.0 0.29000000000000004 36.88 0.0163918 0.0164998 1.7702362 -0.049425 0.079963 0.0124234 0.0157077 0.0 99.2343275 0.0  {'room_id': 5, 'explored_rooms': 50, 'raw_score': -91.0} 
7808 2 2 -91.0 0.29000000000000004 36.63 0.0220719 0.0193907 1.9417643 -0.0042169 0.0861505 0.0103839 0.0081566 0.0 98.7669975 0.0  {'room_id': 70, 'explored_rooms': 50, 'raw_score': -91.0} 
7936 2 2 -91.0 0.29000000000000004 37.66 0.0424292 0.026989 2.0428667 0.0077896 0.1215493 0.0149024 0.0080457 0.0 98.2677825 0.0  {'room_id': 10, 'explored_rooms': 50, 'raw_score': -91.0} 
8064 2 2 -91.0 0.29000000000000004 37.77 0.0359686 0.0299076 2.0442773 0.0639063 0.1384669 0.0235712 0.0049052 0.0 98.6543779 0.0  {'room_id': 10, 'explored_rooms': 50, 'raw_score': -91.0} 
8192 3 3 318.1 0.7610000000000001 39.68 0.0293136 0.026252 2.1258806 -0.5939143 0.1760011 0.0941834 0.0107693 0.0 98.4249123 0.0  {'room_id': 80, 'explored_rooms': 50, 'raw_score': 318.1} 
8320 3 3 318.1 0.7610000000000001 36.02 0.0225577 0.0234357 2.1100444 -0.2162331 0.1007742 0.0368914 0.0082429 0.0 98.6404248 0.0  {'room_id': 32, 'explored_rooms': 50, 'raw_score': 318.1} 
8448 3 3 318.1 0.7610000000000001 36.71 0.0177407 0.0195832 2.2239559 -0.0675884 0.0763877 0.0170315 0.0051335 0.0 98.8102321 0.0  {'room_id': 122, 'explored_rooms': 50, 'raw_score': 318.1} 
8576 3 3 318.1 0.7610000000000001 35.38 0.0188942 0.0178482 2.0603783 0.0716585 0.0683129 0.0147813 0.0060274 0.0 99.10187 0.0  {'room_id': 42, 'explored_rooms': 50, 'raw_score': 318.1} 
8704 3 3 318.1 0.7610000000000001 36.41 0.0176066 0.0182841 1.8447332 0.001903 0.0580073 0.0124662 0.0039526 0.0 99.009178 0.0  {'room_id': 42, 'explored_rooms': 52, 'raw_score': 318.1} 
8832 3 3 318.1 0.7610000000000001 36.13 0.0142381 0.0180642 1.8962528 0.0266642 0.0447529 0.0093805 0.0026024 0.0 99.0373479 0.0  {'room_id': 5, 'explored_rooms': 52, 'raw_score': 318.1} 
8960 3 3 318.1 0.7610000000000001 35.96 0.0160226 0.0166756 1.8177302 -0.0771238 0.0686383 0.020963 0.0283197 0.0 98.9694988 0.0  {'room_id': 70, 'explored_rooms': 52, 'raw_score': 318.1} 
9088 3 3 318.1 0.7610000000000001 37.19 0.0480857 0.0293782 2.402538 -0.0606487 0.1050146 0.0225653 0.0106049 0.0 98.7427014 0.0  {'room_id': 10, 'explored_rooms': 52, 'raw_score': 318.1} 
9216 3 3 318.1 0.7610000000000001 37.52 0.0211841 0.0318592 1.872457 0.0971511 0.0923136 0.0204387 0.0074927 0.0 98.7283682 0.0  {'room_id': 10, 'explored_rooms': 52, 'raw_score': 318.1} 
9344 3 3 318.1 0.7610000000000001 37.71 0.0165419 0.0304249 2.2011561 0.2446484 0.0826133 0.0108923 0.0072506 0.0 98.9200538 0.0  {'room_id': 10, 'explored_rooms': 52, 'raw_score': 318.1} 
9472 3 3 318.1 0.7610000000000001 35.56 0.0208942 0.032658 2.0409354 0.1916002 0.0781683 0.0121255 0.010731 0.0 98.6036225 0.0  {'room_id': 10, 'explored_rooms': 52, 'raw_score': 318.1} 
9600 3 3 318.1 0.7610000000000001 37.67 0.0284122 0.030492 2.1617788 0.0988548 0.0874997 0.0165505 0.0125662 0.0 98.6298096 0.0  {'room_id': 10, 'explored_rooms': 52, 'raw_score': 318.1} 
9728 3 3 318.1 0.7610000000000001 37.43 0.0301223 0.0258373 2.1477252 -0.0743273 0.0803833 0.0267597 0.0150624 0.0 98.7292708 0.0  {'room_id': 70, 'explored_rooms': 52, 'raw_score': 318.1} 
